0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
0.0,-1.2220331,-0.17106125,-0.29764208,0.35296446,0.18584187,-0.11222376,1.9349811,1.4776412,-0.4995272,1.3876976,-0.25099927,-0.25473022,0.08674752,1.8723227,-0.09824759,-0.2519513,-0.16793737,-0.3045842,-0.0002005957,-5.215779e-05,-0.18492562,-0.2734193,-0.40936005,-0.073539995,-0.06325887,1.338794,-0.23304977,1.9473329,2.0879536,-0.11556898,-0.12225995,-1.3181396,0.82008255,-0.10903582,0.8812287,-0.073189445,-0.00014944375,-0.1494863,-0.06788385,-0.10777953,-0.17401674,0.6629029,-0.017248308,-0.0012202971,-0.11119205,-0.2068705,1.5108795,0.45012638,0.00023486651,0.023726065,1.6077813,-0.14873862,-0.04608646,-0.032980487,2.0815465,0.99532235,-0.20323476,0.00022174045,1.7175131,1.6942189,-0.5236366,-0.03455347,1.9336387,-0.28494906,-0.20611793,-0.07968768,1.7523206,-0.3343993,-0.24856862,1.0960659,-0.39584345,2.0182638,-0.13320953,-0.33218992,0.0014115311,-0.4940717,2.1262512,-0.24695888,1.1227868,1.9684138,-0.4190147,-0.13030937,-0.14827812,1.8984537,1.5171189,1.3747221,-0.50105196,-0.6164911,-0.028157432,-0.16467038,-0.5405959,1.834182,1.2958972,-0.057595197,-0.47775197,0.7639935,0.002198413,1.355683,2.2299182,2.296599,-0.26400858,-0.24032113,-0.40777588,1.6274085,-1.1368821,-0.54207295,-0.18177766,-0.33312634,-0.027264882,0.00054426026,-0.0011555869,0.80713964,0.71061414,-0.21433114,-0.33072534,-0.39038193,-0.042305395,1.7412007e-05,-0.18861717,0.002690747,-0.22111192,-0.1822901,1.792722,-0.20849249,0.09881005,-0.15408102,2.2036996,0.72291833,-0.07870955,0.903437,0.83813375,1.933631,1.7485983,-0.35289684,-0.09255095,-0.12910333,1.6732537,-0.3872489,0.7198875,0.68829644,-0.12561452,-0.32176393,-0.3546066,-0.23248553,-0.014814466,0.86559623,1.4425551,-0.2220703,-0.009595038,1.6689507,0.095367745,1.4832083,9.20007e-06,-0.07932812,-0.2743687,-0.4433929,1.7014719,0.79658467,-0.00023243576,1.2844238,-1.0956811,-0.2504941,-0.10343224,1.6061866,-0.25739807,-0.08595425,1.7598524,-0.6489078,1.7477227,0.71374035,-0.08259781,-0.9406183,1.4953398,-0.14468545,-0.32841012,-0.12243421,-0.2654586,-0.13039993,-0.20310333,-0.14079961,-0.27325585,0.780277,1.0653442,-0.27382213,1.6093194,-0.38120046,-0.35476995,-0.16309536,0.9196216,0.32635722,-0.0003135316,-1.5082035,-0.000114586204,1.318625,-0.27295688,0.4673341,-0.33196554,-0.23748958,1.2486533,1.6571327
0.005,-1.21601,-0.1745328,-0.2952909,0.36143792,0.19515496,-0.11248045,1.9370412,1.4718468,-0.5005204,1.3825426,-0.24366325,-0.24703887,0.097895004,1.8695059,-0.09995076,-0.25335786,-0.16894609,-0.30496493,0.007963341,0.008865476,-0.18599147,-0.27421126,-0.408117,-0.073686235,-0.063635744,1.3464696,-0.22605632,1.9505403,2.0927303,-0.1161806,-0.12263053,-1.3107356,0.81344175,-0.10879479,0.8736583,-0.07324829,0.009768989,-0.1492949,-0.069493264,-0.110224634,-0.17599016,0.66724396,-0.006398184,0.0066578574,-0.112778366,-0.20589256,1.5193808,0.4612885,0.008431487,0.035254847,1.6049069,-0.14877798,-0.04714004,-0.033335105,2.0855834,0.9899279,-0.20353833,0.009435128,1.7136136,1.6993383,-0.5249446,-0.03613341,1.936656,-0.27642375,-0.2093389,-0.08093559,1.7516022,-0.3334662,-0.24116191,1.1047492,-0.3960855,2.0255005,-0.13325918,-0.33093598,0.010544494,-0.4931642,2.1310625,-0.23953734,1.1315904,1.9712354,-0.42121947,-0.1318838,-0.14930141,1.9001027,1.5117319,1.3717833,-0.49926224,-0.6166446,-0.020531468,-0.16443026,-0.53882486,1.8358765,1.289649,-0.05848362,-0.47761685,0.7572895,0.011818692,1.3511792,2.2331023,2.3000062,-0.26470482,-0.2330253,-0.409482,1.6204762,-1.1299614,-0.5435645,-0.17999981,-0.33284417,-0.019045586,0.010207397,-0.002360722,0.80071723,0.720901,-0.21356775,-0.3314097,-0.39073998,-0.04216854,0.0073560094,-0.18862194,0.011080043,-0.21463388,-0.18402442,1.7913325,-0.20234583,0.10884908,-0.15455389,2.2050881,0.7156289,-0.07969501,0.91329795,0.83160573,1.936443,1.7434514,-0.35419038,-0.09262353,-0.12996493,1.6717199,-0.38723567,0.73067755,0.68273675,-0.1255386,-0.32222524,-0.34391317,-0.23230222,-0.014524938,0.8574229,1.4365973,-0.22159958,-0.0126024,1.6644405,0.1046755,1.4753696,0.011463793,-0.08046682,-0.27482796,-0.44229645,1.6957562,0.78980637,0.009187207,1.2772925,-1.0893387,-0.2430887,-0.10293519,1.6003656,-0.25009772,-0.087013856,1.7569784,-0.6423354,1.7548449,0.70762324,-0.08441062,-0.9342349,1.4968615,-0.14477992,-0.32918814,-0.12256582,-0.25723723,-0.13087122,-0.20304559,-0.14052159,-0.27291405,0.7734571,1.0574577,-0.27441317,1.6080152,-0.3801268,-0.35414398,-0.16345057,0.93023074,0.33454564,0.00892606,-1.4991874,0.009435285,1.3113644,-0.27273455,0.4770816,-0.3321496,-0.23820123,1.2445949,1.6607064
0.01,-1.2099869,-0.1780038,-0.2929397,0.3699113,0.2044684,-0.112736985,1.9391018,1.466052,-0.5015136,1.3773876,-0.23632711,-0.2393471,0.10904323,1.8666877,-0.101654,-0.2547643,-0.16995476,-0.30534568,0.01612778,0.017783787,-0.1870572,-0.27500352,-0.40687388,-0.0738324,-0.06401257,1.3541462,-0.21906237,1.953747,2.097507,-0.11679256,-0.123001136,-1.303331,0.8068001,-0.108554006,0.86608696,-0.073307164,0.019687481,-0.14910348,-0.07110302,-0.1126696,-0.17796373,0.6715855,0.0044525685,0.014536232,-0.114364415,-0.20491445,1.5278819,0.47245103,0.016628306,0.046784084,1.6020317,-0.14881761,-0.048193537,-0.033689957,2.0896215,0.9845331,-0.20384154,0.018649029,1.7097133,1.7044582,-0.5262524,-0.037713334,1.9396734,-0.26789865,-0.21255997,-0.082183614,1.7508833,-0.3325329,-0.23375455,1.1134335,-0.39632764,2.032737,-0.13330863,-0.32968217,0.01967749,-0.49225655,2.1358721,-0.23211512,1.1403944,1.9740574,-0.42342496,-0.13345826,-0.15032446,1.9017533,1.5063456,1.3688449,-0.49747267,-0.61679816,-0.012904724,-0.16418995,-0.5370533,1.8375707,1.2833998,-0.059371844,-0.47748178,0.75058496,0.021439359,1.346675,2.2362862,2.303413,-0.26540148,-0.22572903,-0.41118813,1.6135441,-1.12304,-0.54505575,-0.17822197,-0.3325617,-0.010826219,0.019870795,-0.0035660956,0.79429454,0.73118895,-0.21280481,-0.33209434,-0.39109778,-0.04203193,0.01469522,-0.18862681,0.019469839,-0.20815516,-0.18575901,1.789944,-0.196199,0.118888065,-0.155027,2.2064774,0.7083392,-0.080680795,0.92315954,0.8250774,1.9392546,1.7383027,-0.3554838,-0.09269601,-0.13082668,1.6701859,-0.38722253,0.7414686,0.67717636,-0.12546237,-0.32268625,-0.3332195,-0.23211873,-0.014235096,0.849249,1.4306387,-0.22112843,-0.0156097375,1.6599299,0.11398336,1.4675306,0.0229186,-0.08160502,-0.2752873,-0.4412001,1.6900398,0.78302824,0.018607799,1.270161,-1.0829957,-0.23568274,-0.102438346,1.5945445,-0.24279705,-0.0880737,1.7541032,-0.6357628,1.761967,0.70150656,-0.086223535,-0.92785096,1.4983823,-0.14487438,-0.32996637,-0.12269727,-0.24901545,-0.13134266,-0.20298792,-0.14024356,-0.27257213,0.7666366,1.0495706,-0.27500445,1.6067111,-0.37905332,-0.35351807,-0.16380563,0.9408406,0.34273458,0.01816563,-1.4901707,0.018985849,1.3041034,-0.27251256,0.4868293,-0.3323336,-0.23891291,1.2405368,1.6642796
0.015,-1.2039636,-0.18147485,-0.29058853,0.37838465,0.21378188,-0.11299372,1.9411621,1.4602573,-0.5025066,1.3722321,-0.228991,-0.23165545,0.12019155,1.8638691,-0.10335726,-0.25617075,-0.17096338,-0.3057263,0.024292193,0.026702132,-0.18812272,-0.27579585,-0.4056306,-0.07397852,-0.0643893,1.3618233,-0.21206836,1.9569539,2.1022851,-0.117404446,-0.12337176,-1.2959257,0.80015904,-0.10831329,0.8585161,-0.073365964,0.029606005,-0.14891209,-0.07271272,-0.11511457,-0.17993736,0.675927,0.015303363,0.022414636,-0.11595063,-0.2039364,1.5363836,0.48361355,0.024825042,0.05831336,1.5991563,-0.14885724,-0.0492471,-0.034044765,2.0936594,0.9791378,-0.20414487,0.027862843,1.7058138,1.709577,-0.52756023,-0.039293185,1.942691,-0.25937355,-0.21578097,-0.08343163,1.7501646,-0.33159977,-0.2263473,1.1221167,-0.39656997,2.0399737,-0.13335823,-0.32842836,0.028810542,-0.49134874,2.140682,-0.22469302,1.1491984,1.9768791,-0.42563033,-0.13503268,-0.1513476,1.9034032,1.5009592,1.3659058,-0.49568304,-0.61695147,-0.005278034,-0.16394961,-0.53528154,1.839265,1.2771513,-0.060260072,-0.47734672,0.7438802,0.03106001,1.342171,2.2394705,2.3068202,-0.26609802,-0.21843289,-0.41289443,1.606612,-1.1161184,-0.54654694,-0.17644411,-0.33227912,-0.0026067905,0.02953434,-0.0047714524,0.787872,0.74147654,-0.21204178,-0.33277908,-0.39145577,-0.041895315,0.02203442,-0.18863167,0.02785957,-0.20167638,-0.18749365,1.7885544,-0.19005217,0.12892714,-0.15550005,2.2078655,0.7010495,-0.08166648,0.9330212,0.81854886,1.9420663,1.733155,-0.3567774,-0.09276849,-0.13168836,1.668652,-0.3872093,0.7522593,0.6716164,-0.12538609,-0.32314727,-0.3225259,-0.23193505,-0.0139452005,0.84107536,1.4246807,-0.22065732,-0.018617105,1.6554192,0.12329121,1.4596915,0.03437342,-0.082743235,-0.27574655,-0.44010362,1.6843235,0.7762497,0.028028317,1.2630289,-1.0766526,-0.22827685,-0.10194148,1.588723,-0.23549625,-0.0891335,1.7512285,-0.6291904,1.7690897,0.69538975,-0.08803633,-0.92146677,1.499904,-0.14496885,-0.33074453,-0.12282876,-0.24079353,-0.1318141,-0.20293032,-0.13996547,-0.27223027,0.759816,1.0416837,-0.2755957,1.6054064,-0.37797982,-0.35289213,-0.1641607,0.95145094,0.35092333,0.027405266,-1.4811546,0.028536443,1.2968423,-0.27229047,0.49657708,-0.33251765,-0.23962456,1.2364784,1.6678528
0.02,-1.197674,-0.18498811,-0.2882838,0.38704854,0.22308603,-0.113358855,1.9432759,1.4543477,-0.5036212,1.3668219,-0.22146566,-0.22393408,0.13151619,1.8610557,-0.10506634,-0.25763875,-0.17208114,-0.30601823,0.032745622,0.035688207,-0.18920398,-0.27676368,-0.4044512,-0.07405012,-0.064644046,1.3695343,-0.20499772,1.9599653,2.106975,-0.118082255,-0.12385415,-1.288214,0.7932298,-0.10812861,0.85078406,-0.07361028,0.03943313,-0.14862147,-0.07421969,-0.11773005,-0.18176004,0.6804796,0.02646238,0.030389432,-0.11765687,-0.20297673,1.5447828,0.49496156,0.03325703,0.069784105,1.5960735,-0.1488172,-0.050110668,-0.034230154,2.0976248,0.97376645,-0.20430723,0.037239466,1.7016506,1.7147757,-0.52906775,-0.04074531,1.9454666,-0.25087935,-0.2192033,-0.084768414,1.7493179,-0.33071426,-0.21895754,1.1310327,-0.3966654,2.0474443,-0.13331267,-0.327022,0.038196906,-0.49048278,2.1452487,-0.21723975,1.1582768,1.9797125,-0.427715,-0.13660435,-0.152289,1.9049618,1.4955982,1.3626931,-0.49397865,-0.6169088,0.002460828,-0.16389534,-0.5334124,1.8411101,1.2708683,-0.061328627,-0.4772485,0.73729223,0.040620677,1.3376083,2.2426202,2.3101857,-0.26683468,-0.21105441,-0.41471982,1.5995275,-1.1090692,-0.5478819,-0.17469054,-0.33181238,0.0059434418,0.039312195,-0.0060473382,0.7814553,0.75176704,-0.21130699,-0.33352828,-0.39165467,-0.041939218,0.029362822,-0.18856542,0.036509797,-0.19525343,-0.18918729,1.7869284,-0.18380891,0.13902706,-0.15597755,2.2090304,0.6934827,-0.08261859,0.9430915,0.8117802,1.944738,1.7279551,-0.3579668,-0.09302069,-0.1325044,1.6670678,-0.38716626,0.7632121,0.665842,-0.12526901,-0.32377502,-0.3117569,-0.23163283,-0.013603289,0.83266693,1.4184366,-0.22011697,-0.021657497,1.6509358,0.13285491,1.451511,0.046061613,-0.083804116,-0.27621964,-0.43903676,1.678575,0.7693744,0.037573524,1.2557082,-1.0700414,-0.22064586,-0.10152985,1.582891,-0.22791228,-0.09026945,1.748444,-0.62243265,1.77639,0.6891228,-0.08974275,-0.91508746,1.5011681,-0.14486171,-0.33166718,-0.12286871,-0.2323451,-0.13224117,-0.20296875,-0.13966605,-0.2720389,0.7527055,1.0337291,-0.27608728,1.6041456,-0.37703523,-0.3523565,-0.1643686,0.9623442,0.35919145,0.03662813,-1.4718952,0.038325,1.2893543,-0.27211303,0.50641125,-0.33257774,-0.24038678,1.232247,1.6713759
0.025,-1.191381,-0.18850197,-0.28597966,0.39571494,0.23239005,-0.11372553,1.9453902,1.4484373,-0.5047372,1.3614081,-0.21393773,-0.21621245,0.14284322,1.8582419,-0.10677548,-0.2591075,-0.17320035,-0.3063088,0.04120305,0.044675205,-0.19028533,-0.27773398,-0.40327245,-0.07412071,-0.06489717,1.3772454,-0.19792597,1.962974,2.1116655,-0.11876105,-0.12433813,-1.2804973,0.78629696,-0.10794468,0.84304935,-0.073857106,0.049259078,-0.14832948,-0.07572528,-0.12034786,-0.18358067,0.68503505,0.03762561,0.038365636,-0.11936477,-0.20201743,1.5531803,0.5063124,0.041692287,0.081254095,1.592988,-0.14877616,-0.05097159,-0.03441319,2.1015885,0.96839535,-0.2044678,0.04661834,1.6974846,1.7199761,-0.5305777,-0.04219591,1.9482386,-0.2423854,-0.22262847,-0.08610648,1.7484692,-0.3298296,-0.21156792,1.1399524,-0.396759,2.0549183,-0.13326591,-0.32561356,0.047586713,-0.48961738,2.1498122,-0.20978573,1.167359,1.982546,-0.429798,-0.13817596,-0.1532292,1.9065197,1.4902382,1.3594759,-0.49227542,-0.616863,0.0102012865,-0.16384369,-0.531542,1.8429565,1.264585,-0.06239966,-0.47715062,0.73070586,0.050180532,1.3330449,2.24577,2.3135507,-0.267572,-0.2036748,-0.41654676,1.5924416,-1.1020182,-0.5492146,-0.17293732,-0.33134302,0.014498245,0.049091827,-0.007324267,0.7750388,0.7620577,-0.21057257,-0.3342785,-0.39185154,-0.04198569,0.036691114,-0.1884981,0.0451636,-0.18883118,-0.19088024,1.7852986,-0.17756437,0.14912772,-0.1564551,2.2101915,0.6859121,-0.083570234,0.953165,0.805008,1.9474071,1.722755,-0.35915503,-0.09327528,-0.13331972,1.6654819,-0.3871228,0.77416706,0.66006446,-0.12515134,-0.324405,-0.30098692,-0.23132893,-0.013260814,0.8242556,1.4121891,-0.21957561,-0.024698313,1.6464527,0.14242227,1.4433261,0.057753086,-0.08486386,-0.2766928,-0.43797037,1.6728264,0.76249754,0.047120467,1.2483847,-1.0634264,-0.21301183,-0.10111935,1.5770589,-0.2203244,-0.09140651,1.7456611,-0.61567223,1.7836931,0.6828537,-0.091447785,-0.90870774,1.5024285,-0.14475188,-0.33259177,-0.12290752,-0.22389346,-0.13266759,-0.20300838,-0.13936639,-0.2718495,0.7455909,1.0257736,-0.27657747,1.602885,-0.37609228,-0.351822,-0.1645745,0.97324145,0.3674605,0.045850854,-1.4626322,0.048116762,1.2818627,-0.2719363,0.51624656,-0.33263618,-0.24114978,1.2280132,1.6748976
0.03,-1.1850879,-0.19201587,-0.28367552,0.4043814,0.24169412,-0.11409214,1.9475043,1.442526,-0.50585324,1.3559946,-0.2064097,-0.20849076,0.15417032,1.8554282,-0.108484685,-0.26057628,-0.17431957,-0.3065994,0.04966043,0.05366219,-0.191367,-0.27870423,-0.4020939,-0.074191295,-0.06515022,1.3849561,-0.19085415,1.9659822,2.1163552,-0.119439766,-0.12482207,-1.2727813,0.77936375,-0.1077607,0.8353145,-0.07410393,0.05908499,-0.14803752,-0.07723084,-0.12296569,-0.18540123,0.6895906,0.048788905,0.04634174,-0.12107268,-0.20105806,1.5615776,0.5176628,0.050127536,0.092724085,1.5899028,-0.14873523,-0.05183263,-0.03459629,2.1055532,0.9630241,-0.20462829,0.055997245,1.6933184,1.7251759,-0.53208786,-0.043646343,1.951011,-0.23389183,-0.22605354,-0.08744456,1.7476206,-0.3289449,-0.20417832,1.1488721,-0.3968526,2.0623913,-0.1332191,-0.3242051,0.056976542,-0.4887522,2.1543758,-0.20233189,1.1764411,1.9853796,-0.43188095,-0.13974762,-0.15416959,1.9080774,1.4848776,1.3562587,-0.4905722,-0.6168177,0.017941732,-0.16379194,-0.5296716,1.8448031,1.258302,-0.06347071,-0.477053,0.72411966,0.059740357,1.3284814,2.2489197,2.3169162,-0.26830935,-0.19629526,-0.41837406,1.5853552,-1.0949675,-0.55054754,-0.17118412,-0.33087376,0.023052959,0.05887129,-0.008601125,0.76862234,0.7723484,-0.20983808,-0.33502862,-0.39204842,-0.042032063,0.044019397,-0.18843077,0.0538174,-0.18240896,-0.19257325,1.7836689,-0.1713196,0.15922867,-0.1569326,2.2113538,0.6783416,-0.08452188,0.96323836,0.7982359,1.9500766,1.7175549,-0.36034286,-0.093529925,-0.13413514,1.6638966,-0.3870794,0.78512186,0.65428704,-0.12503375,-0.32503492,-0.29021686,-0.23102504,-0.01291839,0.81584394,1.4059408,-0.21903425,-0.027739156,1.6419693,0.15198956,1.4351419,0.06944443,-0.08592366,-0.27716604,-0.43690404,1.6670774,0.75562114,0.056667402,1.2410603,-1.0568117,-0.20537776,-0.10070884,1.571227,-0.21273664,-0.092543535,1.7428787,-0.60891193,1.7909962,0.67658466,-0.09315273,-0.9023281,1.5036887,-0.14464222,-0.33351633,-0.12294627,-0.21544185,-0.13309398,-0.20304823,-0.13906667,-0.27166012,0.73847663,1.0178183,-0.27706766,1.6016245,-0.37514934,-0.35128754,-0.16478038,0.9841392,0.37572962,0.05507352,-1.4533701,0.05790854,1.2743713,-0.27175957,0.5260818,-0.33269468,-0.24191266,1.2237796,1.6784197
0.035,-1.1787947,-0.1955297,-0.28137138,0.41304773,0.25099817,-0.11445893,1.9496187,1.436615,-0.50696945,1.3505809,-0.19888176,-0.20076907,0.16549721,1.8526145,-0.11019385,-0.262045,-0.17543879,-0.30688992,0.058117747,0.062649176,-0.1924484,-0.27967447,-0.40091527,-0.07426196,-0.06540333,1.3926673,-0.18378244,1.9689916,2.1210444,-0.12011851,-0.12530607,-1.2650647,0.7724308,-0.10757674,0.8275802,-0.07435075,0.068910904,-0.14774552,-0.07873642,-0.12558345,-0.18722183,0.6941461,0.059952147,0.0543179,-0.12278058,-0.20009866,1.5699756,0.52901363,0.0585628,0.104194015,1.5868174,-0.14869413,-0.052693523,-0.034779277,2.1095176,0.9576533,-0.20478892,0.06537614,1.6891516,1.7303761,-0.533598,-0.045096934,1.9537832,-0.22539814,-0.22947863,-0.0887826,1.7467723,-0.32806006,-0.19678874,1.1577914,-0.39694607,2.0698652,-0.13317233,-0.3227967,0.06636639,-0.4878867,2.1589394,-0.19487827,1.185523,1.9882132,-0.43396413,-0.14131925,-0.15510988,1.9096355,1.4795167,1.3530418,-0.48886898,-0.6167721,0.025682144,-0.16374032,-0.5278014,1.84665,1.2520189,-0.06454172,-0.47695518,0.71753323,0.06930026,1.3239175,2.2520685,2.3202813,-0.2690466,-0.1889157,-0.42020077,1.5782685,-1.0879167,-0.55188036,-0.16943085,-0.3304044,0.031607687,0.06865081,-0.009878023,0.76220566,0.78263915,-0.20910354,-0.33577886,-0.39224523,-0.04207841,0.051347658,-0.18836361,0.062471204,-0.17598677,-0.19426617,1.7820396,-0.1650751,0.16932936,-0.15741012,2.2125156,0.6707711,-0.08547347,0.97331136,0.7914639,1.9527465,1.7123548,-0.36153087,-0.093784675,-0.13495044,1.6623111,-0.38703594,0.79607683,0.6485093,-0.12491608,-0.32566488,-0.27944684,-0.23072112,-0.01257586,0.8074322,1.3996928,-0.2184929,-0.030779969,1.6374861,0.16155678,1.4269571,0.08113586,-0.08698344,-0.2776392,-0.4358377,1.6613288,0.74874455,0.066214316,1.2337362,-1.0501968,-0.19774368,-0.100298345,1.5653955,-0.2051489,-0.09368052,1.740096,-0.60215175,1.7982998,0.6703153,-0.09485771,-0.89594865,1.5049493,-0.14453231,-0.33444098,-0.122985,-0.20699033,-0.13352048,-0.20308791,-0.138767,-0.27147076,0.73136204,1.0098631,-0.2775578,1.6003636,-0.37420642,-0.35075313,-0.16498622,0.9950365,0.38399872,0.064296335,-1.4441079,0.06770028,1.2668798,-0.27158278,0.5359173,-0.3327531,-0.2426756,1.2195456,1.6819416
0.04,-1.1725019,-0.1990436,-0.27906737,0.4217142,0.26030228,-0.11482561,1.9517332,1.4307046,-0.5080854,1.3451667,-0.19135378,-0.19304731,0.17682427,1.8498008,-0.11190296,-0.26351383,-0.17655799,-0.3071805,0.06657519,0.071636185,-0.19353002,-0.28064474,-0.39973664,-0.07433253,-0.06565641,1.4003782,-0.1767106,1.9719992,2.125734,-0.12079723,-0.12579006,-1.2573489,0.76549774,-0.1073928,0.8198458,-0.074597634,0.07873684,-0.14745356,-0.08024199,-0.12820126,-0.18904242,0.6987015,0.07111544,0.062294073,-0.12448844,-0.19913936,1.5783727,0.5403644,0.06699797,0.115664065,1.5837317,-0.14865315,-0.053554565,-0.034962304,2.113482,0.95228183,-0.20494938,0.07475497,1.6849853,1.735576,-0.53510803,-0.046547398,1.9565555,-0.2169044,-0.23290369,-0.09012066,1.7459235,-0.32717538,-0.18939917,1.1667116,-0.39703974,2.0773382,-0.13312551,-0.32138824,0.07575618,-0.48702133,2.1635036,-0.18742447,1.1946055,1.9910465,-0.43604696,-0.14289087,-0.1560502,1.9111935,1.4741561,1.349825,-0.48716593,-0.6167266,0.03342257,-0.16368863,-0.52593076,1.8484968,1.2457361,-0.06561273,-0.4768573,0.7109467,0.07886011,1.3193542,2.255217,2.3236458,-0.26978385,-0.18153612,-0.42202795,1.5711824,-1.0808659,-0.55321324,-0.16767766,-0.3299351,0.040162534,0.07843032,-0.01115489,0.7557893,0.7929298,-0.20836912,-0.33652896,-0.3924421,-0.042124867,0.058675952,-0.18829623,0.07112501,-0.16956455,-0.19595942,1.7804098,-0.15883051,0.1794301,-0.15788764,2.213677,0.6632007,-0.0864251,0.98338485,0.78469163,1.9554162,1.7071552,-0.3627188,-0.094039306,-0.13576588,1.6607255,-0.3869924,0.8070317,0.64273214,-0.124798454,-0.32629487,-0.26867682,-0.23041731,-0.012233324,0.7990209,1.393445,-0.21795157,-0.033820786,1.6330032,0.17112415,1.4187717,0.09282731,-0.08804321,-0.27811235,-0.4347711,1.6555798,0.74186796,0.07576122,1.2264127,-1.0435818,-0.1901097,-0.09988783,1.5595635,-0.19756103,-0.09481758,1.7373134,-0.5953914,1.805603,0.66404635,-0.09656277,-0.88956887,1.5062096,-0.14442256,-0.3353656,-0.12302373,-0.19853866,-0.13394699,-0.20312767,-0.13846731,-0.27128136,0.7242476,1.0019081,-0.27804798,1.5991032,-0.3732636,-0.35021856,-0.16519207,1.0059338,0.39226767,0.07351895,-1.4348457,0.0774921,1.2593884,-0.27140608,0.5457525,-0.33281156,-0.24343851,1.2153118,1.6854633
0.045,-1.1662089,-0.20255747,-0.27676317,0.43038058,0.26960626,-0.11519222,1.9538473,1.4247934,-0.5092015,1.3397534,-0.18382584,-0.18532571,0.1881514,1.8469868,-0.1136122,-0.26498252,-0.17767724,-0.3074711,0.07503248,0.08062318,-0.19461146,-0.281615,-0.39855814,-0.074403,-0.06590943,1.4080896,-0.1696389,1.9750084,2.130424,-0.12147604,-0.12627414,-1.2496322,0.75856465,-0.1072088,0.8121111,-0.07484443,0.08856277,-0.14716157,-0.08174756,-0.13081916,-0.19086304,0.703257,0.0822787,0.07027022,-0.1261964,-0.19818002,1.5867702,0.55171496,0.07543325,0.12713397,1.5806459,-0.14861201,-0.054415546,-0.035145316,2.1174462,0.94691086,-0.20510995,0.08413389,1.6808193,1.7407757,-0.53661823,-0.047997877,1.9593276,-0.20841068,-0.23632881,-0.09145868,1.7450749,-0.32629067,-0.18200958,1.1756312,-0.3971332,2.0848117,-0.1330787,-0.3199798,0.08514604,-0.4861562,2.1680667,-0.17997067,1.2036873,1.99388,-0.43813008,-0.1444625,-0.15699056,1.9127518,1.468796,1.3466078,-0.48546258,-0.61668104,0.04116303,-0.16363692,-0.5240605,1.8503435,1.2394526,-0.06668377,-0.47675967,0.70436037,0.088419996,1.3147908,2.2583666,2.3270109,-0.2705211,-0.17415652,-0.42385495,1.5640961,-1.0738147,-0.55454594,-0.16592444,-0.3294658,0.048717223,0.08820985,-0.012431806,0.749373,0.80322045,-0.20763476,-0.33727908,-0.39263898,-0.04217127,0.06600422,-0.18822892,0.07977877,-0.16314235,-0.1976524,1.7787807,-0.1525859,0.18953076,-0.15836519,2.2148387,0.6556302,-0.087376766,0.9934582,0.7779198,1.9580854,1.7019548,-0.36390692,-0.09429395,-0.13658121,1.6591406,-0.386949,0.8179869,0.6369544,-0.12468083,-0.32692474,-0.2579068,-0.2301133,-0.011890759,0.79060924,1.3871969,-0.2174103,-0.036861666,1.6285198,0.18069148,1.4105873,0.10451865,-0.08910301,-0.2785855,-0.43370497,1.6498309,0.7349914,0.08530811,1.219089,-1.0369669,-0.1824756,-0.099477336,1.5537316,-0.18997326,-0.09595463,1.7345301,-0.5886311,1.8129058,0.65777725,-0.098267764,-0.8831892,1.5074701,-0.14431274,-0.33629015,-0.12306254,-0.19008708,-0.1343734,-0.20316742,-0.13816759,-0.27109203,0.71713305,0.9939527,-0.2785382,1.5978429,-0.37232056,-0.34968406,-0.165398,1.0168312,0.40053686,0.08274162,-1.4255823,0.08728388,1.251897,-0.27122924,0.55558777,-0.33287007,-0.24420154,1.2110779,1.6889856
