0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
0.0,-0.51692444,1.6394396,1.5271529,0.15600735,0.10259206,0.0044682324,-0.123101756,-0.4474104,-1.8148906,-1.3318729,-0.70042425,0.8522825,0.26910397,1.0761852,-0.5107504,-0.32133913,1.5807186,-0.26895785,1.1718706,0.46931946,-0.47186118,1.0711454,0.4076872,0.9052807,1.2575184,-0.40504646,-0.20373842,-0.2777329,1.8337656,-0.53978515,1.279064,1.7326832,1.1967404,0.0018737782,1.1001831,0.120103784,-0.14326543,0.5473127,0.024298336,0.8193864,-0.6346843,1.3749326,-0.38122782,-0.42129833,0.93068427,-0.28428507,0.8012263,-0.26057154,-0.38416067,-1.4502324,-0.71714395,-0.5976731,-0.28031573,-0.31122464,-0.31889808,0.9225016,1.3039086,0.5576176,1.1950423,-1.0088087,-0.42663538,0.12869458,1.6555572,-1.629908,-0.42663878,-0.4431685,2.1519268,-0.3233522,-0.43196526,1.5117671,-0.5245634,-0.2666736,0.078572646,-0.86725813,1.241542,-0.07721248,0.23748377,0.90354866,1.2012513,0.009317718,1.5078877,0.01484699,1.2556294,1.6944445,-0.36583647,0.24572612,-0.47982943,-0.32467657,-0.39089113,0.0033004768,-0.19371885,1.7466304,-0.13317285,-1.5686835,1.7972983,1.5409787,1.5489463,1.2476796,-0.10975593,2.0494866,0.6801548,-0.3501911,-0.33667776,1.0452312,0.00023012236,-0.47505865,-1.0096986,-0.2639031,-0.08797227,-0.60870516,1.3554596,-0.57849556,0.00110282,-1.03335,-0.41068316,1.3227829,-0.42276734,0.082204655,1.255641,-1.4957688,1.757033,-0.3883123,-0.051996484,-0.38707337,1.3894035,0.3183485,0.93701833,0.18104264,-0.15038884,0.28617316,1.6519591,0.45431685,-0.3150078,-0.8091315,-0.20539291,-1.0313859,-0.38699016,1.6053274,-0.7056339,1.8412899,-1.352213,1.467691,1.2374783,0.12155279,0.4414516,-0.39212462,1.6568446,1.594344,-0.03316008,-0.27109498,-0.25245222,-1.0238307,-0.033702336,-0.788201,-0.11587948,-0.36942124,1.4594623,1.1822581,-2.5721824,-0.3374659,-0.2547048,1.4841388,-0.659441,-0.08566572,-0.1367131,-0.38345432,-0.26372513,1.0091419,0.07653269,1.6870017,2.1026006,-0.69461596,0.34497476,-0.17380124,0.71916294,-0.48339644,1.4972405,1.8013352,1.635883,-0.4812012,-0.23500264,-0.4849413,-0.33115155,-0.5326082,1.7685715,0.95446944,1.088943,1.7977812,-0.5259605,1.4577116,-0.42315063,-0.21695277,-0.59720886,-0.39364454,1.6451846,-0.35224274,-0.078177854,-0.31798398,1.6704361,0.84892225
0.005,-0.5025053,1.6296039,1.5228744,0.1652215,0.10896041,0.021016523,-0.12177776,-0.44837445,-1.8017019,-1.3220094,-0.6906366,0.8416513,0.27153552,1.0680634,-0.5143864,-0.32064137,1.5841671,-0.26090366,1.1831231,0.48161963,-0.46925226,1.0641797,0.41892976,0.90760756,1.2494459,-0.39388815,-0.20412603,-0.27893576,1.8251363,-0.5399786,1.280284,1.7320347,1.187938,0.018091692,1.0919167,0.13737416,-0.14708309,0.5563445,0.038466964,0.8063912,-0.62804115,1.373798,-0.38324508,-0.42237717,0.914746,-0.285998,0.8065745,-0.2601984,-0.38790193,-1.4402472,-0.71538097,-0.59921145,-0.2832473,-0.30962625,-0.31030774,0.92203903,1.2973937,0.56527025,1.1882383,-0.99876195,-0.4260518,0.14053325,1.6472591,-1.6205657,-0.41466096,-0.44236588,2.1475441,-0.3240792,-0.43186086,1.5050018,-0.523123,-0.2675756,0.092874825,-0.8601911,1.2410234,-0.07917074,0.22953424,0.8945226,1.2088909,0.023943767,1.4979101,0.024518011,1.2482549,1.6891676,-0.3669809,0.26178268,-0.4778837,-0.32438922,-0.38217786,0.017215688,-0.19482577,1.740266,-0.13546458,-1.5589545,1.7940923,1.537157,1.5496255,1.2397178,-0.11348884,2.0445354,0.69339013,-0.33645442,-0.3373058,1.0526593,0.008628778,-0.46234787,-1.0080425,-0.26656488,-0.08880073,-0.60739654,1.3470732,-0.578125,0.015690088,-1.0293958,-0.40923634,1.3297813,-0.4225373,0.0940509,1.2469143,-1.4871652,1.7495466,-0.39034358,-0.05473266,-0.3852655,1.3878545,0.3304682,0.9253288,0.19679958,-0.15383543,0.28499848,1.6411985,0.46287587,-0.31542033,-0.80024433,-0.2053151,-1.0256954,-0.37677714,1.6081688,-0.70379007,1.8339467,-1.3424755,1.4800069,1.2310559,0.12936518,0.42951253,-0.39542878,1.6510051,1.583337,-0.03362406,-0.27044368,-0.2557505,-1.0133643,-0.034196943,-0.78130716,-0.11752275,-0.35910994,1.455494,1.1806281,-2.5638964,-0.33889562,-0.25605696,1.4741735,-0.66014767,-0.08490508,-0.13923685,-0.38422495,-0.26609188,0.99889135,0.08885662,1.6809322,2.1005478,-0.69023705,0.35694516,-0.17762066,0.7003187,-0.469986,1.5052279,1.7917087,1.6321644,-0.48021463,-0.23343098,-0.47215384,-0.32218415,-0.53271294,1.7550358,0.9649068,1.0833149,1.8022927,-0.5250329,1.4486046,-0.42153132,-0.21865448,-0.59908855,-0.3836607,1.6349996,-0.35513756,-0.07946167,-0.3159311,1.6575066,0.84913564
0.01,-0.48806727,1.6197509,1.5185837,0.1744297,0.115320705,0.037582844,-0.12046552,-0.44934344,-1.7884991,-1.3121454,-0.68084306,0.83100325,0.27396375,1.0599275,-0.51803434,-0.31994227,1.5876266,-0.25284,1.1943669,0.49392152,-0.46663797,1.0572016,0.43019125,0.9099334,1.2413799,-0.38272977,-0.20451704,-0.28012556,1.8165077,-0.54015636,1.2815028,1.7313838,1.1791284,0.034322064,1.0836388,0.15464246,-0.15090913,0.56538224,0.0526342,0.7933769,-0.6213862,1.3726435,-0.3852742,-0.42344284,0.8987931,-0.28770214,0.81192327,-0.25982818,-0.39162704,-1.430273,-0.71362054,-0.60073817,-0.28616446,-0.30801713,-0.30169895,0.92156464,1.2908858,0.5729142,1.1814288,-0.98871595,-0.42547297,0.15236571,1.6389465,-1.6112244,-0.40267855,-0.441555,2.1431446,-0.3248045,-0.43176436,1.4982188,-0.5216688,-0.26849225,0.107186824,-0.85310835,1.2405158,-0.08114179,0.22159413,0.8854948,1.216544,0.038586494,1.4879193,0.03417893,1.240889,1.683882,-0.36813065,0.27784383,-0.47592354,-0.3240941,-0.37346658,0.03114988,-0.1959363,1.7339106,-0.13776015,-1.5492299,1.7908813,1.5333272,1.5503191,1.2317425,-0.11721839,2.0395892,0.70663637,-0.32270214,-0.33794072,1.0601022,0.017030299,-0.4496366,-1.0063934,-0.26922902,-0.08963564,-0.6060981,1.3386784,-0.5777612,0.030291984,-1.0254415,-0.40777934,1.3367726,-0.42232117,0.10588871,1.2381656,-1.4785633,1.7420491,-0.3923762,-0.057477213,-0.3834514,1.3862848,0.34260094,0.9136464,0.2125543,-0.15728837,0.2838311,1.6304328,0.47144142,-0.31584322,-0.7913422,-0.20524286,-1.0199887,-0.36656055,1.6110033,-0.7019345,1.8265855,-1.3327428,1.4923313,1.2246195,0.13718896,0.4175691,-0.39874837,1.6451643,1.5723112,-0.03408117,-0.26978916,-0.25904703,-1.0029017,-0.03469916,-0.774395,-0.11917847,-0.34880006,1.451513,1.1790073,-2.5555909,-0.34033802,-0.2574079,1.4642048,-0.6608614,-0.08414999,-0.14177367,-0.385007,-0.2684639,0.9886316,0.10118632,1.674863,2.098477,-0.685856,0.36891377,-0.18145417,0.68147624,-0.4565828,1.5132111,1.7820876,1.6284463,-0.47924265,-0.23184654,-0.45934826,-0.31320205,-0.53281444,1.7415063,0.975358,1.0776813,1.8068174,-0.52411646,1.4394867,-0.41992736,-0.22034448,-0.6009547,-0.37367487,1.6248084,-0.35802034,-0.08073784,-0.3138808,1.6445566,0.84935
0.015,-0.4736215,1.6094128,1.5145026,0.18414928,0.12167067,0.05391574,-0.11927423,-0.45060906,-1.7754593,-1.3017476,-0.67076665,0.8199015,0.27667943,1.0515214,-0.5214489,-0.31960276,1.5913469,-0.24483673,1.2061309,0.50635993,-0.4638853,1.0504446,0.4416588,0.91210705,1.2332715,-0.37133348,-0.20518565,-0.2810101,1.8073697,-0.5403987,1.2827941,1.7308953,1.1698257,0.050540917,1.0754807,0.17186905,-0.15441,0.57455945,0.066830695,0.780202,-0.61428934,1.3712529,-0.38764748,-0.42422003,0.88231146,-0.2891533,0.8175923,-0.25909683,-0.3956184,-1.420374,-0.7122602,-0.60215414,-0.288902,-0.30650502,-0.2927725,0.9211049,1.2842262,0.5807715,1.174459,-0.9783224,-0.42503422,0.1640025,1.6308768,-1.6020437,-0.39030397,-0.44090897,2.1385427,-0.3258264,-0.43197638,1.4911156,-0.5201136,-0.2691201,0.1219001,-0.8457536,1.2399501,-0.08282101,0.21356621,0.8763658,1.2242705,0.05351918,1.4777243,0.043735616,1.2331421,1.6781822,-0.36898085,0.29379058,-0.47405505,-0.32409018,-0.36427334,0.04520785,-0.19684291,1.7278149,-0.13981733,-1.5391254,1.7877901,1.5294076,1.5513431,1.2238988,-0.12111388,2.0346794,0.71973425,-0.30847996,-0.33881778,1.0676901,0.025622249,-0.43696687,-1.0050751,-0.27217957,-0.09046021,-0.6049302,1.3299581,-0.5771423,0.044910725,-1.0216669,-0.40598476,1.3437365,-0.42205757,0.1180657,1.2293167,-1.4695518,1.7345402,-0.39404017,-0.059989035,-0.38201427,1.3846909,0.3547528,0.90193886,0.22857615,-0.16103987,0.2824055,1.6191828,0.48051146,-0.3166502,-0.78200436,-0.20547858,-1.0140903,-0.35591528,1.6134257,-0.70010555,1.8189914,-1.3228997,1.5046272,1.2178675,0.14535822,0.40577048,-0.4016863,1.639239,1.561052,-0.034716032,-0.2687651,-0.2625595,-0.99242365,-0.03558863,-0.76712626,-0.12076278,-0.33816874,1.447731,1.1775756,-2.546969,-0.34168708,-0.2590579,1.4537762,-0.66126275,-0.0837526,-0.14450432,-0.38572285,-0.27109823,0.9785849,0.11354782,1.668842,2.0962303,-0.6814811,0.38071322,-0.18549061,0.66257834,-0.44293946,1.5209087,1.7720627,1.6243472,-0.47843,-0.23025581,-0.44628897,-0.30404517,-0.5331776,1.7280662,0.985785,1.0722796,1.8112842,-0.52330786,1.4299966,-0.41863513,-0.2223033,-0.6028822,-0.3633249,1.6145543,-0.36067784,-0.08235659,-0.31203735,1.6311884,0.8493142
0.02,-0.459171,1.5987623,1.5105565,0.19419809,0.1280139,0.07009835,-0.11816085,-0.45206577,-1.762524,-1.2910051,-0.6605085,0.8085071,0.27958095,1.0429411,-0.52471364,-0.3194949,1.5952348,-0.23687194,1.21823,0.518886,-0.46104357,1.0438304,0.4532594,0.9141825,1.2251354,-0.3597836,-0.20603299,-0.28169814,1.7979047,-0.5406827,1.2841316,1.730512,1.1602051,0.066752404,1.0673993,0.18906875,-0.15770157,0.583827,0.08104588,0.7669234,-0.60690737,1.3697095,-0.39024282,-0.42481136,0.8654888,-0.2904412,0.82346773,-0.25813273,-0.39978024,-1.410523,-0.7111577,-0.6034992,-0.2915242,-0.3050555,-0.28364167,0.92065465,1.2774686,0.58876646,1.167386,-0.9677047,-0.4246856,0.17551315,1.6229639,-1.592966,-0.37767676,-0.44036916,2.1338098,-0.32703897,-0.43238723,1.4838066,-0.51849395,-0.2695617,0.13687162,-0.8382243,1.2393457,-0.08431235,0.20548192,0.8671722,1.2320446,0.06863894,1.4673975,0.05322512,1.2251495,1.6722168,-0.36963806,0.3096632,-0.47224545,-0.3242739,-0.35476977,0.059345305,-0.19761783,1.7218863,-0.14172123,-1.5287757,1.7847761,1.5254297,1.5525795,1.2161398,-0.12511617,2.0297933,0.7327358,-0.29395488,-0.33985126,1.0753723,0.034336746,-0.42432424,-1.0039692,-0.27531457,-0.09127802,-0.6038463,1.321027,-0.57635933,0.05953999,-1.0180084,-0.40397263,1.3506832,-0.42176315,0.13046111,1.2204021,-1.4602764,1.7270234,-0.39546642,-0.062350634,-0.3808204,1.3830819,0.36691716,0.8902152,0.24477077,-0.16498332,0.2808134,1.6076195,0.48990706,-0.31770453,-0.7723859,-0.20591289,-1.0080684,-0.34499386,1.6155826,-0.6982936,1.8112459,-1.3129851,1.5169051,1.2109128,0.15374993,0.39406478,-0.40437868,1.6332606,1.5496421,-0.035465088,-0.26750314,-0.26621112,-0.9819355,-0.03672781,-0.7596274,-0.12230095,-0.32733035,1.4440773,1.1762667,-2.538146,-0.3429759,-0.26090038,1.4430515,-0.6614629,-0.08358575,-0.14736012,-0.38639614,-0.27390212,0.96867526,0.12592961,1.6628511,2.0938714,-0.6771106,0.3924042,-0.1896578,0.6436446,-0.42914125,1.5284235,1.7617773,1.6200012,-0.47772047,-0.228661,-0.4330663,-0.29477587,-0.53370965,1.7146848,0.99619615,1.0670278,1.815714,-0.5225691,1.4202665,-0.41754377,-0.22443542,-0.6048493,-0.3527405,1.6042603,-0.3631901,-0.084196,-0.31032687,1.6175507,0.84911764
0.025,-0.44472045,1.588111,1.5066104,0.20424691,0.13435718,0.08628099,-0.1170474,-0.45352244,-1.7495883,-1.2802631,-0.65025014,0.7971131,0.28248215,1.0343611,-0.52797836,-0.31938723,1.5991234,-0.22890732,1.2303288,0.5314122,-0.45820186,1.037216,0.46485996,0.91625804,1.2169992,-0.34823385,-0.20688039,-0.282386,1.7884388,-0.54096663,1.2854698,1.7301289,1.1505849,0.08296395,1.0593181,0.2062687,-0.16099307,0.59309506,0.09526141,0.7536447,-0.59952575,1.3681663,-0.39283782,-0.42540276,0.84866637,-0.29172912,0.8293433,-0.25716832,-0.40394214,-1.4006728,-0.7100552,-0.60484403,-0.2941465,-0.30360585,-0.27451074,0.9202045,1.2707112,0.59676105,1.1603132,-0.9570865,-0.4243372,0.18702383,1.6150512,-1.5838884,-0.36504957,-0.43982908,2.1290777,-0.32825157,-0.43279815,1.4764979,-0.5168737,-0.2700034,0.15184325,-0.83069545,1.238742,-0.085803494,0.19739732,0.857978,1.2398185,0.083758555,1.4570708,0.06271466,1.2171569,1.6662503,-0.37029493,0.3255358,-0.47043568,-0.3244576,-0.34526616,0.073483236,-0.19839293,1.715958,-0.14362507,-1.5184263,1.7817626,1.5214522,1.5538167,1.2083806,-0.12911859,2.0249083,0.7457378,-0.27942994,-0.3408848,1.0830547,0.043051332,-0.41168135,-1.0028635,-0.27844974,-0.09209576,-0.6027618,1.3120962,-0.57557607,0.074169435,-1.0143499,-0.40196034,1.3576303,-0.42146865,0.14285687,1.2114882,-1.4510007,1.7195064,-0.39689258,-0.0647124,-0.37962642,1.3814728,0.37908173,0.8784915,0.26096508,-0.16892678,0.27922136,1.596057,0.49930283,-0.31875896,-0.762767,-0.20634736,-1.0020467,-0.33407238,1.6177396,-0.69648176,1.8035011,-1.3030708,1.5291823,1.203958,0.16214167,0.38235924,-0.40707108,1.6272819,1.5382321,-0.036214374,-0.26624095,-0.26986274,-0.97144747,-0.037866987,-0.7521289,-0.12383923,-0.31649184,1.4404234,1.1749575,-2.529323,-0.34426486,-0.26274282,1.4323258,-0.6616632,-0.08341894,-0.15021563,-0.38706985,-0.2767057,0.95876575,0.13831165,1.6568608,2.091513,-0.67273974,0.40409517,-0.19382508,0.6247107,-0.41534287,1.5359387,1.7514915,1.6156563,-0.47701105,-0.22706619,-0.4198436,-0.28550658,-0.5342414,1.7013025,1.0066075,1.0617754,1.8201432,-0.52183026,1.4105364,-0.41645217,-0.2265677,-0.60681605,-0.3421559,1.5939661,-0.36570236,-0.086035386,-0.30861637,1.6039134,0.8489207
0.03,-0.43027005,1.5774611,1.5026642,0.21429588,0.14070046,0.10246362,-0.11593388,-0.45497912,-1.7366537,-1.2695209,-0.6399919,0.78571874,0.28538346,1.025781,-0.531243,-0.3192794,1.6030117,-0.22094263,1.2424276,0.5439381,-0.45536035,1.0306016,0.4764602,0.9183333,1.2088634,-0.3366841,-0.20772767,-0.28307414,1.7789735,-0.5412506,1.2868077,1.7297459,1.1409646,0.09917516,1.0512369,0.22346829,-0.16428453,0.6023628,0.10947658,0.74036634,-0.5921436,1.3666236,-0.39543304,-0.42599455,0.83184373,-0.29301697,0.83521885,-0.25620425,-0.40810445,-1.3908222,-0.70895267,-0.60618883,-0.2967685,-0.30215615,-0.26537994,0.9197541,1.263954,0.6047558,1.1532402,-0.9464689,-0.4239887,0.19853458,1.6071378,-1.5748105,-0.3524224,-0.4392892,2.1243446,-0.32946417,-0.433209,1.4691882,-0.515254,-0.27044517,0.16681498,-0.8231657,1.2381384,-0.087294765,0.1893132,0.8487844,1.2475921,0.0988784,1.4467436,0.07220405,1.2091641,1.6602844,-0.3709519,0.34140834,-0.46862578,-0.3246412,-0.3357625,0.08762087,-0.199168,1.7100292,-0.14552902,-1.508077,1.7787484,1.5174743,1.5550536,1.2006218,-0.13312107,2.0200226,0.7587399,-0.26490495,-0.34191826,1.0907371,0.05176586,-0.39903855,-1.0017575,-0.28158477,-0.09291358,-0.6016777,1.3031656,-0.57479286,0.08879864,-1.0106915,-0.39994845,1.3645772,-0.4211744,0.15525252,1.2025741,-1.441725,1.7119895,-0.39831892,-0.06707401,-0.37843233,1.3798636,0.39124632,0.8667681,0.2771592,-0.17287047,0.27762932,1.5844945,0.5086986,-0.3198132,-0.753149,-0.2067817,-0.9960247,-0.3231508,1.619897,-0.6946701,1.7957563,-1.2931564,1.5414602,1.197003,0.17053327,0.37065375,-0.40976334,1.6213031,1.5268224,-0.036963373,-0.26497895,-0.2735143,-0.9609598,-0.03900601,-0.7446304,-0.12537746,-0.3056535,1.43677,1.1736484,-2.5205,-0.34555382,-0.26458514,1.4216009,-0.66186297,-0.08325222,-0.1530714,-0.38774323,-0.27950963,0.9488561,0.15069354,1.65087,2.0891542,-0.6683692,0.4157861,-0.19799219,0.60577714,-0.40154472,1.5434533,1.7412064,1.6113105,-0.4763014,-0.22547111,-0.40662116,-0.2762373,-0.5347733,1.6879203,1.0170187,1.0565232,1.824572,-0.5210918,1.4008063,-0.41536084,-0.22869985,-0.6087831,-0.33157143,1.583672,-0.3682147,-0.08787468,-0.30690578,1.5902759,0.8487241
0.035,-0.41581935,1.5668104,1.4987183,0.22434497,0.14704372,0.11864631,-0.11482036,-0.45643595,-1.7237179,-1.258779,-0.6297333,0.7743245,0.28828463,1.0172006,-0.53450763,-0.31917158,1.6069001,-0.21297783,1.2545269,0.5564644,-0.45251855,1.0239868,0.48806107,0.92040896,1.2007272,-0.32513434,-0.20857497,-0.28376192,1.769508,-0.54153466,1.2881453,1.7293625,1.1313443,0.11538662,1.0431554,0.24066816,-0.16757618,0.61163074,0.123692095,0.727088,-0.5847618,1.3650804,-0.39802825,-0.42658582,0.8150213,-0.29430488,0.8410947,-0.25524005,-0.41226637,-1.3809716,-0.70785016,-0.6075336,-0.2993907,-0.3007065,-0.25624898,0.91930383,1.2571961,0.61275035,1.1461673,-0.93585134,-0.4236402,0.2100452,1.5992246,-1.5657325,-0.33979517,-0.4387492,2.1196122,-0.3306766,-0.43361986,1.461879,-0.51363415,-0.27088687,0.18178673,-0.8156367,1.2375344,-0.08878599,0.18122876,0.83959043,1.255366,0.113998055,1.4364165,0.08169364,1.201172,1.6543187,-0.37160903,0.35728103,-0.46681607,-0.324825,-0.32625896,0.10175859,-0.19994316,1.7041005,-0.147433,-1.4977274,1.7757344,1.5134966,1.556291,1.1928622,-0.1371235,2.0151367,0.77174187,-0.25037995,-0.34295166,1.0984192,0.06048052,-0.3863956,-1.0006517,-0.2847198,-0.093731314,-0.6005936,1.2942344,-0.57400984,0.103428215,-1.007033,-0.3979363,1.3715241,-0.42088005,0.1676482,1.19366,-1.4324498,1.7044723,-0.39974514,-0.06943569,-0.3772384,1.3782547,0.40341082,0.85504436,0.29335362,-0.176814,0.27603722,1.5729313,0.5180942,-0.32086757,-0.74353015,-0.20721608,-0.9900032,-0.31222913,1.6220536,-0.6928584,1.788011,-1.2832417,1.5537379,1.1900482,0.17892501,0.35894823,-0.41245574,1.6153245,1.5154127,-0.037712492,-0.263717,-0.27716604,-0.95047194,-0.04014515,-0.7371319,-0.1269157,-0.2948149,1.4331163,1.1723392,-2.5116765,-0.34684283,-0.26642764,1.4108759,-0.6620631,-0.083085306,-0.15592706,-0.38841656,-0.2823134,0.93894637,0.1630756,1.6448793,2.0867953,-0.6639984,0.42747688,-0.20215961,0.58684325,-0.38774636,1.550969,1.7309208,1.606965,-0.4755918,-0.22387627,-0.39339843,-0.26696786,-0.53530526,1.6745385,1.02743,1.0512708,1.8290019,-0.5203529,1.391076,-0.41426942,-0.23083225,-0.61074996,-0.32098675,1.5733781,-0.37072712,-0.08971397,-0.3051953,1.5766379,0.8485273
0.04,-0.40136898,1.5561596,1.4947716,0.23439382,0.153387,0.13482884,-0.11370696,-0.4578926,-1.7107825,-1.2480369,-0.6194749,0.76293033,0.29118598,1.0086207,-0.53777224,-0.31906375,1.6107881,-0.20501317,1.2666254,0.5689906,-0.4496769,1.0173726,0.49966156,0.9224843,1.1925912,-0.31358442,-0.20942253,-0.28444996,1.7600429,-0.5418185,1.2894832,1.7289795,1.1217238,0.13159816,1.0350744,0.25786805,-0.17086756,0.6208984,0.13790725,0.71380913,-0.5773798,1.3635374,-0.40062347,-0.4271772,0.7981986,-0.29559276,0.84696996,-0.25427586,-0.41642848,-1.3711214,-0.70674783,-0.60887855,-0.3020128,-0.2992569,-0.24711798,0.9188533,1.2504388,0.6207451,1.1390944,-0.92523396,-0.42329174,0.22155571,1.5913122,-1.5566554,-0.32716796,-0.43820924,2.1148803,-0.33188942,-0.43403083,1.45457,-0.51201427,-0.27132842,0.19675852,-0.8081075,1.2369304,-0.090277225,0.17314461,0.8303963,1.26314,0.12911776,1.4260898,0.0911831,1.1931791,1.6483523,-0.37226602,0.37315366,-0.4650064,-0.32500875,-0.3167552,0.11589628,-0.20071815,1.6981722,-0.14933684,-1.4873776,1.77272,1.5095187,1.5575275,1.1851037,-0.14112577,2.0102508,0.784744,-0.2358549,-0.34398526,1.1061018,0.06919494,-0.3737528,-0.9995462,-0.2878549,-0.09454912,-0.59950954,1.2853035,-0.5732268,0.11805761,-1.0033743,-0.3959244,1.378471,-0.42058557,0.18004388,1.184746,-1.4231741,1.6969552,-0.40117145,-0.07179738,-0.37604457,1.3766452,0.4155752,0.8433207,0.30954787,-0.18075773,0.2744452,1.5613697,0.5274899,-0.3219219,-0.7339118,-0.20765041,-0.983981,-0.30130774,1.6242107,-0.69104654,1.780266,-1.2733275,1.5660149,1.1830934,0.18731678,0.34724256,-0.4151481,1.6093453,1.5040027,-0.03846159,-0.26245463,-0.2808176,-0.9399839,-0.041284166,-0.7296332,-0.128454,-0.28397653,1.4294621,1.1710296,-2.5028546,-0.34813145,-0.26827005,1.4001509,-0.66226315,-0.082918555,-0.15878263,-0.38909003,-0.2851171,0.92903686,0.17545749,1.638889,2.0844364,-0.65962774,0.43916774,-0.20632678,0.5679094,-0.37394804,1.5584836,1.7206357,1.6026193,-0.4748821,-0.2222813,-0.3801758,-0.25769854,-0.53583723,1.6611564,1.0378413,1.046019,1.8334308,-0.5196139,1.3813461,-0.41317812,-0.23296432,-0.61271703,-0.3104023,1.5630842,-0.3732394,-0.091553375,-0.30348486,1.5630003,0.8483306
0.045,-0.3869183,1.5455095,1.4908265,0.24444287,0.15973032,0.15101151,-0.11259345,-0.45934936,-1.6978476,-1.2372947,-0.60921675,0.7515362,0.29408726,1.0000404,-0.5410369,-0.318956,1.6146761,-0.19704835,1.2787244,0.5815168,-0.44683534,1.0107582,0.5112623,0.9245599,1.1844549,-0.3020348,-0.21026982,-0.28513786,1.750577,-0.5421026,1.2908205,1.7285964,1.1121036,0.14780962,1.0269932,0.2750678,-0.17415905,0.63016593,0.15212265,0.7005305,-0.5699981,1.3619938,-0.40321854,-0.42776868,0.78137594,-0.29688066,0.8528457,-0.25331172,-0.42059046,-1.3612709,-0.70564526,-0.6102236,-0.30463502,-0.29780722,-0.23798703,0.9184032,1.2436813,0.62873995,1.1320215,-0.91461605,-0.42294312,0.23306656,1.583399,-1.5475775,-0.3145407,-0.43766904,2.1101468,-0.3331021,-0.43444166,1.4472604,-0.51039433,-0.2717702,0.21173029,-0.8005783,1.2363267,-0.09176841,0.16506019,0.8212026,1.2709136,0.14423752,1.4157629,0.10067264,1.1851863,1.6423866,-0.37292323,0.38902658,-0.46319693,-0.32519257,-0.30725157,0.130034,-0.20149314,1.6922437,-0.15124072,-1.4770285,1.769706,1.5055413,1.5587646,1.1773446,-0.14512819,2.0053654,0.7977462,-0.22132982,-0.34501863,1.1137837,0.077909574,-0.36110997,-0.99844015,-0.29099002,-0.09536694,-0.5984254,1.2763728,-0.5724435,0.13268706,-0.99971545,-0.3939121,1.3854175,-0.42029122,0.19243953,1.1758317,-1.4138983,1.6894381,-0.40259755,-0.074159145,-0.37485048,1.3750364,0.42773977,0.8315969,0.3257425,-0.1847012,0.27285308,1.549807,0.5368856,-0.32297626,-0.72429335,-0.20808475,-0.9779592,-0.29038605,1.6263679,-0.68923485,1.7725213,-1.2634131,1.578293,1.1761383,0.19570847,0.33553687,-0.41784048,1.6033664,1.492593,-0.03921081,-0.26119262,-0.2844692,-0.92949575,-0.04242338,-0.72213453,-0.12999225,-0.27313805,1.4258085,1.1697206,-2.494031,-0.34942037,-0.2701125,1.3894256,-0.6624634,-0.0827517,-0.16163841,-0.38976344,-0.28792083,0.9191272,0.18783957,1.6328984,2.0820775,-0.65525687,0.45085883,-0.21049412,0.5489756,-0.36014986,1.5659987,1.7103504,1.5982741,-0.4741725,-0.22068635,-0.36695305,-0.24842933,-0.53636897,1.6477742,1.0482523,1.0407672,1.8378606,-0.51887524,1.3716159,-0.41208655,-0.23509665,-0.61468405,-0.29981777,1.5527903,-0.37575182,-0.09339267,-0.3017742,1.549363,0.8481338
