0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
0.0,1.5408739,0.066473335,-0.60006803,0.0685792,1.609545,2.0091238,2.9931176,-0.92843264,-0.3371508,-2.424946,2.37353,0.42742378,2.5210028,-0.53885186,2.092717,-0.6755194,-1.646905,0.0013825763,1.4578838,1.4668877,-1.0087506,1.6472341,-0.7443928,-0.00045095198,1.1669672,-0.37723765,2.3942463,2.606131,-2.9458709,1.0373679,-0.6418855,0.0028612688,-0.76775205,-1.3003132,0.27358264,-0.25274527,-0.65281665,-1.7230283,-0.885023,1.1187992,-1.4447186,-1.1659625,1.2993556,0.45088464,1.4511408,-0.9240564,0.73392355,-3.3687584,0.09706838,0.5790283,-0.099259585,-0.32686648,-0.7888985,0.46017522,-1.1585453,2.8137436,-1.7074624,-1.5075506,-0.5159255,0.1879297,0.63145375,-1.8868871,-0.22448696,-1.8306001,0.7428501,0.39935443,-0.5046949,0.86804557,0.22148421,-0.6784343,1.0816122,1.2698469,-0.049497128,-0.026596822,0.47598314,3.2641141,2.0147095,0.70550346,0.9449846,1.5457093,-1.3818153,0.40218532,0.6844682,-3.3168502,1.3103074,1.0205643,-1.2463114,-0.18193145,1.350188,-0.12671456,1.4815547,1.6361008,0.29909432,3.398989,1.3966464,0.9428105,0.57156503,0.9095279,-2.681003,1.0239954,0.98794913,0.05736555,-0.13677453,-0.10414766,1.1907264,0.31185523,0.98852587,1.957327,1.1656277,-3.1109924,-0.41321406,-1.3261474,-0.38422146,1.6914762,4.5255365,-2.9805229,1.822828,-0.4734178,-0.5433531,1.4045788,0.1739439,-0.6495295,-0.21677199,-0.105821535,-0.2471379,-0.4468845,-0.64524865,1.894869,-1.4496295,1.5284166,0.2702749,0.27913913,-0.50380856,-1.1740935,-0.016675342,1.6308674,-0.7781758,0.05346965,-0.10647259,1.3363239,0.17512895,-2.3845396,1.1417933,1.6118804,-0.629262,-0.31523862,-3.3440971,-0.95454955,-0.19963044,1.4494568,-0.2850311,-1.0582707,-0.6915441,1.1937271,-2.9531193,1.45883,-0.82968307,-0.19018395,2.4748266,1.7208595,1.6178718,0.52409,0.382416,0.39044768,-0.10268565,-0.97082275,-0.6766315,-1.1685052,1.4942958,1.1956217,0.4246696,-2.7743676,-0.54769677,-0.78580076,-0.00082889944,-2.0540853,1.5660082,2.4557772,-1.9905219,-0.06991882,2.1581175,0.13931485,-0.56999004,0.004175529,-0.23476696,-0.2525229,1.2869909,-0.01682873,-1.1251853,-0.2541023,-1.0675586,1.0568813,-1.1878347,-3.1313357,-1.2493879,-0.78371876,-2.0880756,1.1245906,0.078097165,3.2363615
0.005,1.5593635,0.096789844,-0.5671328,0.09376659,1.6235179,1.992178,2.9393737,-0.91369206,-0.3366102,-2.421021,2.3371034,0.45575064,2.4914298,-0.53412163,2.0980134,-0.64586926,-1.6161994,0.02132272,1.4758246,1.4234984,-0.9802196,1.6615123,-0.7493617,0.021387016,1.1813097,-0.37604734,2.3616211,2.5526168,-2.9599888,0.9916767,-0.62873685,0.038807683,-0.73207426,-1.2968048,0.292711,-0.25233707,-0.65530634,-1.7247901,-0.88222015,1.0600204,-1.4180733,-1.1710997,1.3036458,0.4812096,1.3865763,-0.92670834,0.7561047,-3.3788803,0.110969506,0.59067947,-0.09956813,-0.33290002,-0.7680129,0.48132133,-1.1610405,2.7967453,-1.671492,-1.514115,-0.5108974,0.2188141,0.6033547,-1.8990744,-0.23094155,-1.7993722,0.75982493,0.4149866,-0.4816866,0.82927316,0.24076402,-0.68094873,1.0907484,1.291259,-0.054892123,-0.009595089,0.49335226,3.2350843,1.988453,0.72099394,0.9614706,1.5426552,-1.3419455,0.38417584,0.69868344,-3.317229,1.3027784,1.027726,-1.2377881,-0.18155997,1.2900589,-0.13130441,1.490268,1.6482669,0.32326475,3.329885,1.3348093,0.9808781,0.5782881,0.87841487,-2.6869428,1.03907,0.9430082,0.07015828,-0.14188643,-0.1106781,1.1371672,0.32780543,0.9475065,1.9055687,1.1132767,-3.1262853,-0.38147178,-1.322247,-0.38119605,1.7032775,4.506481,-2.96328,1.8188334,-0.48241344,-0.5464506,1.4132252,0.20020995,-0.64654887,-0.21369487,-0.104386404,-0.2442759,-0.4524454,-0.6150731,1.9085875,-1.426106,1.5248291,0.2858429,0.31125742,-0.5072152,-1.1218272,-0.028531335,1.5756181,-0.77392834,0.025062995,-0.122702196,1.3400003,0.19972427,-2.3582163,1.1566632,1.609492,-0.5989967,-0.31430697,-3.3163579,-0.9442141,-0.20085368,1.393739,-0.28033108,-1.0407876,-0.6853173,1.2003181,-2.9483125,1.3903593,-0.8370711,-0.19914679,2.4264357,1.6681869,1.6034241,0.50935185,0.39797345,0.41913566,-0.13270035,-0.9306807,-0.6789884,-1.1322877,1.504265,1.2018026,0.447912,-2.7591271,-0.5468394,-0.7803484,0.044586398,-2.01688,1.5780023,2.3944592,-1.9549881,-0.03420335,2.1742795,0.1661148,-0.5448524,0.043130517,-0.23797816,-0.2527277,1.273588,-0.027160324,-1.0998566,-0.24926086,-1.0576259,1.0095356,-1.1787016,-3.1390293,-1.2099029,-0.7845748,-2.1022162,1.1348433,0.11258158,3.2288837
0.01,1.5778538,0.12710643,-0.53419816,0.11895352,1.6374907,1.9752324,2.8856308,-0.8989512,-0.33606988,-2.4170961,2.300675,0.48407683,2.4618561,-0.52939117,2.10331,-0.6162192,-1.5854933,0.04126309,1.493764,1.3801092,-0.9516889,1.6757894,-0.75433004,0.04322479,1.1956525,-0.374857,2.328998,2.4991014,-2.974108,0.94598573,-0.61558765,0.07475359,-0.69639695,-1.2932965,0.31183934,-0.25192887,-0.65779567,-1.7265515,-0.8794175,1.0012428,-1.3914278,-1.1762366,1.3079361,0.5115347,1.3220116,-0.9293601,0.77828526,-3.3890023,0.124871016,0.60233027,-0.0998767,-0.33893344,-0.74712783,0.50246745,-1.1635356,2.779746,-1.6355214,-1.5206797,-0.50586945,0.24969807,0.57525605,-1.9112617,-0.23739581,-1.7681437,0.77679926,0.4306185,-0.4586785,0.7905008,0.26004344,-0.68346304,1.099885,1.3126707,-0.060287155,0.0074062925,0.51072097,3.2060544,1.9621967,0.7364837,0.9779572,1.5396013,-1.3020751,0.36616626,0.7128986,-3.3176086,1.2952497,1.0348877,-1.229265,-0.18118884,1.2299304,-0.13589403,1.4989808,1.6604316,0.34743518,3.2607806,1.2729728,1.0189451,0.5850113,0.847302,-2.6928813,1.0541445,0.8980676,0.08295091,-0.14699794,-0.11720824,1.0836077,0.34375533,0.9064881,1.8538102,1.0609267,-3.1415772,-0.34972957,-1.3183471,-0.3781705,1.7150792,4.4874277,-2.9460382,1.8148376,-0.49140912,-0.5495481,1.4218714,0.22647586,-0.64356804,-0.21061775,-0.102951854,-0.24141383,-0.45800626,-0.58489794,1.9223065,-1.402583,1.5212417,0.30141073,0.34337583,-0.51062167,-1.0695617,-0.040387005,1.5203696,-0.76968104,-0.0033435933,-0.13893178,1.343676,0.22431947,-2.3318942,1.1715329,1.6071031,-0.56873167,-0.31337565,-3.288619,-0.9338783,-0.20207667,1.338022,-0.27563122,-1.0233043,-0.67908955,1.2069085,-2.9435065,1.3218883,-0.84445906,-0.20810948,2.378046,1.6155144,1.5889766,0.49461412,0.41353053,0.44782305,-0.16271472,-0.8905394,-0.68134534,-1.0960711,1.514234,1.2079831,0.47115427,-2.7438865,-0.5459822,-0.77489644,0.09000149,-1.9796758,1.5899969,2.3331409,-1.9194552,0.0015116632,2.1904411,0.19291498,-0.5197146,0.08208525,-0.24118963,-0.2529327,1.2601849,-0.037491858,-1.0745289,-0.24441925,-1.047693,0.96219075,-1.1695684,-3.1467226,-1.1704174,-0.78543067,-2.1163566,1.1450961,0.14706588,3.221406
0.015,1.5963435,0.15742302,-0.5012634,0.14414085,1.651464,1.958287,2.831889,-0.8842106,-0.3355298,-2.4131718,2.2642474,0.51240355,2.4322824,-0.524661,2.1086073,-0.5865682,-1.5547873,0.06120316,1.5117054,1.3367196,-0.9231584,1.6900675,-0.75929886,0.06506322,1.209995,-0.3736666,2.2963743,2.445587,-2.988227,0.9002953,-0.6024393,0.11069979,-0.6607193,-1.2897884,0.33096778,-0.2515209,-0.6602848,-1.7283128,-0.87661487,0.94246495,-1.3647838,-1.1813737,1.3122269,0.54185945,1.2574474,-0.932012,0.80046594,-3.3991244,0.13877165,0.6139809,-0.10018514,-0.34496674,-0.72624177,0.5236137,-1.1660314,2.7627468,-1.5995513,-1.5272443,-0.5008416,0.28058243,0.5471571,-1.9234484,-0.2438502,-1.7369153,0.79377407,0.44625053,-0.43567035,0.7517284,0.27932337,-0.6859776,1.1090214,1.3340824,-0.06568217,0.024407841,0.52808994,3.1770234,1.9359393,0.75197387,0.9944439,1.5365478,-1.262205,0.34815666,0.72711325,-3.3179867,1.2877204,1.0420499,-1.2207414,-0.18081743,1.1698014,-0.14048383,1.5076936,1.6725966,0.3716056,3.1916742,1.2111355,1.0570124,0.59173405,0.81618935,-2.69882,1.0692194,0.85312694,0.09574366,-0.15210953,-0.12373859,1.0300487,0.3597055,0.86546904,1.802051,1.0085763,-3.156869,-0.31798708,-1.3144472,-0.37514496,1.7268815,4.468372,-2.9287956,1.8108425,-0.5004049,-0.55264556,1.4305177,0.25274205,-0.6405872,-0.2075406,-0.101517215,-0.23855135,-0.4635672,-0.55472314,1.936025,-1.3790596,1.5176537,0.31697905,0.37549412,-0.5140281,-1.0172954,-0.05224271,1.4651208,-0.7654337,-0.031749915,-0.15516174,1.3473524,0.24891461,-2.3055723,1.1864026,1.6047148,-0.53846663,-0.31244373,-3.2608802,-0.9235422,-0.20330012,1.2823045,-0.2709314,-1.0058213,-0.6728626,1.2134991,-2.9387007,1.253417,-0.8518472,-0.21707228,2.3296552,1.5628427,1.5745286,0.4798761,0.429088,0.47651047,-0.1927292,-0.85039735,-0.68370235,-1.0598545,1.5242025,1.2141635,0.49439722,-2.7286465,-0.5451248,-0.7694441,0.135417,-1.9424707,1.6019917,2.2718234,-1.883921,0.03722693,2.2066028,0.21971527,-0.4945768,0.121040046,-0.24440077,-0.25313756,1.2467813,-0.047823604,-1.0492007,-0.23957768,-1.0377604,0.91484594,-1.1604353,-3.154416,-1.1309322,-0.7862867,-2.1304967,1.1553487,0.18155035,3.213928
0.02,1.6148331,0.18773961,-0.46832842,0.16932784,1.6654367,1.9413413,2.7781446,-0.8694699,-0.33498943,-2.409247,2.2278206,0.54072994,2.4027092,-0.51993066,2.1139033,-0.5569178,-1.5240816,0.081143275,1.5296454,1.29333,-0.8946277,1.7043444,-0.76426727,0.08690133,1.2243379,-0.3724762,2.2637503,2.3920717,-3.0023456,0.8546041,-0.58929014,0.14664584,-0.6250416,-1.2862803,0.35009646,-0.25111282,-0.6627745,-1.7300749,-0.87381274,0.88368666,-1.3381382,-1.1865106,1.3165168,0.57218426,1.1928822,-0.93466395,0.8226469,-3.4092462,0.152673,0.62563205,-0.100493744,-0.35100046,-0.70535624,0.5447598,-1.1685268,2.7457476,-1.56358,-1.5338088,-0.4958134,0.31146675,0.51905847,-1.9356357,-0.25030458,-1.7056868,0.8107483,0.46188265,-0.41266224,0.71295565,0.29860306,-0.6884919,1.1181577,1.3554947,-0.07107716,0.041409593,0.54545885,3.1479924,1.9096829,0.7674639,1.01093,1.5334935,-1.2223341,0.330147,0.74132794,-3.3183677,1.2801911,1.0492117,-1.212218,-0.18044624,1.1096721,-0.14507353,1.5164068,1.6847616,0.39577597,3.1225698,1.1492983,1.0950797,0.5984567,0.78507566,-2.7047582,1.0842941,0.80818623,0.10853636,-0.15722111,-0.13026896,0.9764894,0.3756556,0.82444984,1.7502927,0.9562253,-3.17216,-0.28624457,-1.3105463,-0.37211952,1.7386831,4.4493175,-2.9115524,1.8068472,-0.5094007,-0.5557431,1.4391637,0.27900815,-0.6376067,-0.20446351,-0.10008226,-0.23568928,-0.469128,-0.52454764,1.9497436,-1.3555363,1.514066,0.3325469,0.40761226,-0.5174347,-0.9650285,-0.06409876,1.409872,-0.76118594,-0.060156684,-0.17139113,1.3510286,0.27350974,-2.2792487,1.201272,1.6023264,-0.50820136,-0.3115123,-3.2331414,-0.9132063,-0.20452303,1.2265867,-0.2662313,-0.98833835,-0.6666351,1.2200893,-2.9338949,1.184946,-0.8592351,-0.22603513,2.2812645,1.5101702,1.5600806,0.46513793,0.44464538,0.50519824,-0.22274378,-0.81025517,-0.68605936,-1.0236372,1.5341711,1.2203444,0.51763916,-2.7134054,-0.54426754,-0.763992,0.18083245,-1.9052662,1.6139858,2.2105043,-1.8483882,0.07294226,2.222764,0.2465152,-0.46943903,0.15999521,-0.24761179,-0.2533425,1.233378,-0.058155376,-1.0238726,-0.23473622,-1.027827,0.8675009,-1.1513021,-3.1621091,-1.0914465,-0.78714275,-2.144637,1.165601,0.21603468,3.2064502
0.025,1.6333227,0.21805598,-0.43539345,0.19451472,1.6794095,1.9243952,2.724402,-0.85472924,-0.334449,-2.405322,2.1913943,0.5690563,2.373136,-0.5152004,2.1192007,-0.52726763,-1.4933759,0.101083495,1.5475856,1.2499411,-0.8660968,1.7186223,-0.7692361,0.108739235,1.2386805,-0.37128577,2.2311265,2.338557,-3.0164657,0.8089135,-0.57614136,0.1825918,-0.5893645,-1.2827729,0.3692249,-0.25070477,-0.6652636,-1.7318357,-0.87100977,0.82490873,-1.3114927,-1.1916478,1.3208071,0.60250956,1.1283176,-0.9373157,0.8448277,-3.4193683,0.16657424,0.63728327,-0.10080207,-0.35703397,-0.68447083,0.5659061,-1.1710217,2.7287483,-1.5276095,-1.5403734,-0.49078554,0.34235093,0.4909598,-1.9478228,-0.25675905,-1.6744589,0.82772297,0.47751454,-0.3896543,0.6741832,0.31788272,-0.69100636,1.1272943,1.3769064,-0.07647238,0.058411017,0.56282747,3.1189628,1.8834257,0.78295404,1.027416,1.5304402,-1.1824645,0.3121375,0.7555432,-3.3187456,1.2726619,1.0563732,-1.2036947,-0.18007517,1.0495437,-0.14966325,1.52512,1.696927,0.41994622,3.0534663,1.0874612,1.1331471,0.6051798,0.75396305,-2.7106972,1.0993687,0.76324546,0.121329024,-0.16233294,-0.13679922,0.92293024,0.39160556,0.7834309,1.6985347,0.9038753,-3.187453,-0.25450233,-1.3066462,-0.36909413,1.7504845,4.430263,-2.8943107,1.8028522,-0.51839656,-0.5588406,1.44781,0.30527395,-0.6346262,-0.20138651,-0.098647386,-0.23282745,-0.474689,-0.49437237,1.9634628,-1.3320132,1.5104787,0.3481147,0.43973053,-0.5208414,-0.9127629,-0.07595464,1.3546234,-0.756939,-0.08856319,-0.18762103,1.3547045,0.29810482,-2.2529266,1.2161418,1.5999377,-0.4779361,-0.31058088,-3.205403,-0.9028707,-0.20574631,1.1708694,-0.2615315,-0.9708556,-0.6604078,1.2266802,-2.9290888,1.1164747,-0.86662316,-0.234998,2.2328746,1.4574981,1.5456326,0.45040032,0.4602027,0.5338859,-0.2527584,-0.7701133,-0.6884162,-0.98741996,1.5441399,1.2265254,0.54088145,-2.6981645,-0.5434101,-0.7585396,0.22624743,-1.8680611,1.6259804,2.1491876,-1.8128549,0.10865739,2.238926,0.27331546,-0.44430137,0.19894996,-0.25082296,-0.25354737,1.2199755,-0.068486854,-0.9985446,-0.22989486,-1.017894,0.820156,-1.142169,-3.1698022,-1.0519612,-0.78799874,-2.158778,1.1758537,0.25051895,3.1989725
0.03,1.6518126,0.24837285,-0.4024585,0.21970181,1.6933821,1.9074495,2.67066,-0.83998835,-0.33390868,-2.401397,2.1549666,0.5973828,2.3435628,-0.5104699,2.124497,-0.497617,-1.4626694,0.12102385,1.5655261,1.2065516,-0.83756626,1.7329001,-0.77420455,0.13057739,1.2530229,-0.37009555,2.1985025,2.2850423,-3.030583,0.76322246,-0.5629925,0.21853778,-0.55368686,-1.2792642,0.38835335,-0.25029647,-0.6677533,-1.7335974,-0.86820686,0.7661311,-1.2848477,-1.196785,1.3250977,0.63283426,1.0637542,-0.93996793,0.8670086,-3.429491,0.18047507,0.6489345,-0.10111086,-0.36306733,-0.66358525,0.58705217,-1.1735172,2.7117496,-1.4916394,-1.5469384,-0.48575738,0.37323508,0.46286115,-1.9600102,-0.26321357,-1.6432303,0.84469765,0.49314654,-0.36664608,0.6354109,0.33716226,-0.69352067,1.1364305,1.3983185,-0.08186743,0.075412706,0.5801966,3.0899327,1.8571686,0.79844403,1.0439028,1.527386,-1.1425939,0.29412782,0.76975805,-3.319125,1.2651325,1.0635355,-1.1951717,-0.17970373,0.9894145,-0.15425313,1.5338327,1.7090919,0.4441166,2.9843612,1.0256243,1.1712143,0.6119031,0.7228495,-2.7166364,1.1144432,0.7183048,0.1341218,-0.16744484,-0.14332977,0.8693708,0.4075556,0.7424117,1.6467755,0.85152423,-3.2027442,-0.22276004,-1.3027458,-0.36606848,1.7622865,4.411207,-2.8770678,1.7988565,-0.52739215,-0.56193805,1.4564563,0.33154,-0.6316454,-0.19830915,-0.09721272,-0.22996515,-0.48025006,-0.46419698,1.9771814,-1.3084903,1.506891,0.36368278,0.47184893,-0.52424794,-0.86049694,-0.08781036,1.2993741,-0.75269157,-0.11696981,-0.20385073,1.3583808,0.32269993,-2.2266037,1.2310119,1.5975491,-0.44767094,-0.3096493,-3.1776626,-0.89253503,-0.20696937,1.1151518,-0.25683177,-0.95337206,-0.6541805,1.233271,-2.9242833,1.0480038,-0.8740113,-0.24396096,2.1844835,1.4048256,1.531185,0.43566233,0.47575998,0.5625737,-0.28277284,-0.7299715,-0.69077307,-0.95120347,1.5541087,1.2327063,0.5641237,-2.6829238,-0.5425527,-0.7530878,0.2716626,-1.8308566,1.6379749,2.0878692,-1.777321,0.14437297,2.2550876,0.30011532,-0.4191637,0.23790503,-0.25403455,-0.25375265,1.2065722,-0.0788185,-0.9732163,-0.22505325,-1.0079618,0.7728105,-1.133036,-3.177496,-1.0124757,-0.7888548,-2.172918,1.1861061,0.2850033,3.191495
0.035,1.670302,0.2786892,-0.36952367,0.24488918,1.7073551,1.8905033,2.6169167,-0.82524765,-0.33336818,-2.3974721,2.1185393,0.62570906,2.313989,-0.5057398,2.1297934,-0.46796638,-1.4319634,0.14096406,1.5834671,1.1631621,-0.8090355,1.7471775,-0.7791734,0.15241542,1.2673655,-0.36890483,2.165879,2.2315266,-3.0447028,0.7175318,-0.5498437,0.25448418,-0.51800907,-1.2757562,0.4074819,-0.2498883,-0.67024285,-1.7353592,-0.8654046,0.70735246,-1.2582027,-1.2019219,1.3293874,0.66315943,0.9991884,-0.9426195,0.8891898,-3.439612,0.19437627,0.6605851,-0.10141911,-0.36910075,-0.64269966,0.6081984,-1.1760126,2.6947513,-1.455669,-1.5535026,-0.48072952,0.40411934,0.43476224,-1.9721969,-0.26966792,-1.6120019,0.86167234,0.508779,-0.34363815,0.5966385,0.3564419,-0.69603527,1.1455667,1.4197302,-0.08726227,0.09241431,0.5975653,3.060903,1.8309125,0.8139342,1.060389,1.5243324,-1.1027234,0.2761184,0.7839731,-3.3195047,1.2576042,1.0706974,-1.1866486,-0.17933257,0.9292856,-0.15884261,1.5425452,1.7212566,0.46828693,2.9152567,0.96378756,1.2092816,0.6186254,0.69173676,-2.722575,1.1295179,0.673364,0.1469145,-0.1725562,-0.14985973,0.8158121,0.42350563,0.7013931,1.5950167,0.79917395,-3.2180364,-0.19101755,-1.2988456,-0.3630429,1.7740881,4.3921533,-2.8598251,1.7948612,-0.5363878,-0.56503576,1.4651026,0.35780603,-0.62866473,-0.195232,-0.09577821,-0.22710285,-0.4858107,-0.434022,1.9909,-1.284967,1.5033038,0.3792505,0.5039669,-0.52765435,-0.808231,-0.09966617,1.2441255,-0.7484443,-0.14537625,-0.22008042,1.3620571,0.34729493,-2.200282,1.2458812,1.5951604,-0.41740602,-0.30871755,-3.1499243,-0.88219905,-0.20819256,1.0594345,-0.25213188,-0.93588924,-0.64795285,1.2398611,-2.919477,0.97953284,-0.8813994,-0.25292364,2.1360939,1.3521537,1.5167377,0.42092448,0.49131706,0.591261,-0.31278747,-0.68982947,-0.6931299,-0.91498625,1.5640777,1.2388868,0.5873664,-2.6676843,-0.5416954,-0.74763536,0.317078,-1.793652,1.6499695,2.026552,-1.7417881,0.1800883,2.2712495,0.32691562,-0.39402592,0.27685997,-0.25724557,-0.25395736,1.1931689,-0.089150116,-0.94788826,-0.2202118,-0.9980292,0.725466,-1.1239029,-3.1851885,-0.97299063,-0.7897107,-2.1870584,1.1963588,0.3194877,3.1840177
0.04,1.6887921,0.3090058,-0.33658865,0.270076,1.7213281,1.8735579,2.563174,-0.810507,-0.332828,-2.3935475,2.0821123,0.6540357,2.2844157,-0.5010091,2.1350904,-0.43831614,-1.4012581,0.16090441,1.6014067,1.1197726,-0.7805052,1.7614554,-0.7841418,0.17425339,1.2817085,-0.36771473,2.1332548,2.1780126,-3.058821,0.67184067,-0.5366947,0.29043013,-0.48233142,-1.2722481,0.42661023,-0.2494804,-0.672732,-1.7371203,-0.86260194,0.64857525,-1.2315578,-1.2070589,1.333678,0.69348425,0.93462396,-0.94527173,0.91137034,-3.4497352,0.20827742,0.6722359,-0.10172787,-0.37513426,-0.6218142,0.6293447,-1.1785082,2.677752,-1.4196985,-1.5600672,-0.47570142,0.43500364,0.40666366,-1.9843843,-0.27612233,-1.5807737,0.87864697,0.5244106,-0.32062992,0.5578662,0.3757218,-0.6985495,1.1547035,1.4411423,-0.092657484,0.10941582,0.6149344,3.031872,1.8046552,0.82942426,1.0768751,1.5212781,-1.0628531,0.25810882,0.7981881,-3.3198836,1.2500749,1.0778589,-1.1781253,-0.17896117,0.8691571,-0.16343236,1.5512586,1.7334217,0.49245724,2.8461518,0.9019505,1.247349,0.62534827,0.6606236,-2.728513,1.1445929,0.6284233,0.15970726,-0.17766798,-0.15639016,0.76225305,0.43945557,0.6603739,1.5432584,0.74682343,-3.2333286,-0.15927537,-1.2949455,-0.36001724,1.7858899,4.3731003,-2.8425827,1.7908659,-0.54538363,-0.5681333,1.4737489,0.38407207,-0.6256842,-0.19215485,-0.094343394,-0.22424087,-0.4913717,-0.40384683,2.0046186,-1.261444,1.4997163,0.39481843,0.5360852,-0.53106123,-0.75596446,-0.11152216,1.1888772,-0.74419683,-0.17378266,-0.23630992,1.365733,0.37189025,-2.1739593,1.2607515,1.5927724,-0.38714063,-0.3077862,-3.122186,-0.8718631,-0.20941594,1.0037165,-0.24743193,-0.9184064,-0.64172554,1.2464522,-2.9146712,0.9110618,-0.88878757,-0.26188648,2.087704,1.2994812,1.5022898,0.4061864,0.5068746,0.619949,-0.3428018,-0.6496875,-0.6954869,-0.87876916,1.5740467,1.2450675,0.6106086,-2.6524425,-0.540838,-0.7421831,0.36249316,-1.7564474,1.6619637,1.9652337,-1.706255,0.21580333,2.2874105,0.3537158,-0.3688885,0.31581494,-0.26045692,-0.2541621,1.1797665,-0.0994817,-0.9225601,-0.21537042,-0.9880955,0.6781211,-1.1147699,-3.1928828,-0.9335052,-0.79056686,-2.201199,1.2066114,0.35397214,3.1765394
0.045,1.7074885,0.33968914,-0.30318522,0.2956051,1.7353603,1.8562981,2.508564,-0.7955482,-0.3322361,-2.3894615,2.0451148,0.6826687,2.2544222,-0.49615833,2.1403422,-0.40826347,-1.370138,0.18109734,1.6195004,1.0757195,-0.75156057,1.7758431,-0.78913504,0.19637375,1.296192,-0.36653963,2.1001117,2.1237328,-3.072975,0.62554723,-0.5233904,0.32685107,-0.446172,-1.2686561,0.44596064,-0.24907282,-0.67523265,-1.7388223,-0.85971844,0.58898693,-1.2045525,-1.2122173,1.3379874,0.724185,0.86918813,-0.94791144,0.93376374,-3.4598076,0.22232749,0.6840282,-0.10204891,-0.38126865,-0.60062027,0.6507185,-1.1810243,2.6604471,-1.3832053,-1.5666445,-0.47057116,0.4662916,0.37818316,-1.9966207,-0.2826882,-1.5490825,0.89583004,0.54022574,-0.2972955,0.51859325,0.39522538,-0.70110375,1.1639284,1.4627802,-0.09813244,0.12666354,0.63248956,3.002312,1.7779675,0.84508365,1.0935289,1.5181423,-1.0223801,0.23983131,0.8125342,-3.320108,1.2424072,1.085059,-1.1694582,-0.17859453,0.8081672,-0.16802183,1.5599765,1.7456547,0.5168673,2.7760158,0.83925253,1.2858485,0.63217235,0.6291309,-2.734397,1.1597832,0.582856,0.17265281,-0.18284649,-0.16298747,0.70794594,0.4556133,0.6188083,1.4907051,0.69376063,-3.2486672,-0.12717266,-1.2909242,-0.35696974,1.7977935,4.353604,-2.8249445,1.7867738,-0.5544796,-0.57122844,1.4824421,0.41062397,-0.6226363,-0.18902063,-0.092943296,-0.22135279,-0.4970106,-0.37327525,2.0184295,-1.2376292,1.4959979,0.41050076,0.56858474,-0.5344875,-0.70301366,-0.123546325,1.1328284,-0.7398745,-0.20250101,-0.2527548,1.3694261,0.3968542,-2.1471431,1.2757424,1.5903082,-0.3564286,-0.30683252,-3.0939546,-0.8613757,-0.21065627,0.9472091,-0.24264044,-0.9006649,-0.63540626,1.2530962,-2.909649,0.8416286,-0.8962713,-0.27099177,2.0386345,1.2460483,1.4875779,0.39124092,0.52267253,0.64899695,-0.37313616,-0.60897386,-0.69785774,-0.8420125,1.5840609,1.2512399,0.63412917,-2.6369064,-0.5398949,-0.73661566,0.4085069,-1.7186925,1.6740386,1.9029895,-1.6702112,0.2519637,2.303659,0.3808335,-0.34344363,0.35526952,-0.2636934,-0.25434184,1.166192,-0.109967574,-0.89687204,-0.21047768,-0.97800165,0.6301915,-1.1054753,-3.2005322,-0.8934578,-0.7914003,-2.2154307,1.2169178,0.38887277,3.1688218
