0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
0.0,-0.34686884,0.43729863,0.14360598,0.94864815,-0.32383704,-0.5934087,-0.77495563,-0.2963555,-0.6106508,0.22466968,-0.13868827,-0.026340049,-0.5035371,-0.42451358,0.8741306,0.12921518,0.0017446777,0.9022334,-0.8035517,0.6078761,-0.38950908,0.11932561,0.7859863,0.100495405,-0.8249252,0.24710676,0.70659024,0.83838284,-0.6661227,0.20548762,-0.969746,0.44603056,-0.8551307,1.0205969,-0.3389833,0.916219,0.58764285,-0.21534252,-0.3155036,-0.68316317,0.34860426,0.08956523,0.9519999,-0.15605527,-0.48938608,0.22660823,0.28682297,1.0329826,-0.49878025,0.68278974,0.18747266,1.0273261,0.17904866,0.61256236,-0.5148119,0.040911775,1.0256386,0.77629983,-0.8941314,0.56574374,-0.39948356,-0.7454425,0.5182312,-0.46813557,0.6647143,-0.13461904,0.3141485,-0.89058363,0.6270455,0.24778652,0.60233533,-0.54024464,-0.29266024,-0.013129234,-0.1302631,-0.6367899,-9.560585e-05,-0.67500854,-0.921214,0.105873205,0.39928135,-0.75549424,0.13826604,0.27803424,0.45685044,-0.61484396,-0.7256179,-0.13568093,0.6648133,-0.29809105,1.034543,0.6350209,0.1527334,-0.8817527,0.8602075,0.30534485,-0.99024785,-0.7270168,0.4873311,-0.5293461,0.3724242,0.2742165,-0.26612222,0.4376496,-0.23113465,0.55433005,0.3724252,-0.38300574,0.9752236,0.82081115,0.93175817,0.6427096,0.30697572,0.9791998,-0.42775252,-0.8318548,0.8254155,0.18386775,-0.62310016,-0.11559455,0.68460524,-0.70479715,-0.46880245,0.34832528,-0.059504986,0.07895804,-0.2950857,0.4901666,0.14252849,0.08279066,0.7273139,-0.81033957,0.79113376,-0.6496575,-0.6691077,-0.23536146,0.051629614,0.5445489,-0.6713481,-0.08653036,-0.48867798,0.85015255,0.887286,0.48499453,-0.2283825,0.4324026,0.21592873,-0.96624434,0.7639578,0.43314353,-0.42278713,-0.63897717,0.5087355,-0.064967275,-0.8980074,-0.78842956,0.81193775,0.00028870464,-0.7959609,0.31486306,-0.7380359,0.85644317,0.8492211,-0.9483963,1.0103892,-0.48802507,-0.4916253,0.31098503,0.303209,-0.81461096,-0.7968521,-0.90521073,0.49770048,0.11519754,-0.13597548,0.5074629,-0.9338305,-0.56534886,0.10786128,-0.45752287,-0.69252205,-0.8907058,-0.8234048,0.9850301,0.033372063,-0.64665025,0.60872984,-0.85858643,0.8805786,0.5594021,0.20313694,0.68313384,-0.78653944,0.82151085,0.7411564,0.7108556,-0.383309,-0.3736006,0.49936548,0.7084326
0.005,-0.34361514,0.43390614,0.14016874,0.94331586,-0.32746306,-0.59297794,-0.77514297,-0.29948738,-0.6088146,0.2240064,-0.13551572,-0.02270228,-0.5001109,-0.42764616,0.87567335,0.12905195,0.004192825,0.9012185,-0.8019339,0.6117165,-0.39429054,0.11523118,0.78145456,0.09745149,-0.82111174,0.24566749,0.7047811,0.8360427,-0.66856986,0.204301,-0.97454673,0.44195682,-0.8552399,1.017936,-0.33559003,0.91405755,0.583397,-0.21654536,-0.31532636,-0.6816385,0.34766912,0.08685938,0.950925,-0.15436912,-0.4911298,0.22779542,0.28181484,1.0311143,-0.50105226,0.6817429,0.19046147,1.0281259,0.17632078,0.60954076,-0.5143737,0.04280717,1.0250974,0.78058034,-0.8918793,0.5641414,-0.39964145,-0.7475263,0.51636904,-0.4640318,0.6661936,-0.13164914,0.31077382,-0.89468634,0.6309316,0.24635573,0.59879833,-0.53578705,-0.29418126,-0.016195731,-0.12727356,-0.63241786,-0.000119786855,-0.6718407,-0.92248255,0.107746154,0.40092367,-0.7549035,0.1400617,0.27642748,0.46201792,-0.6188051,-0.727263,-0.1341783,0.66085047,-0.2989732,1.0342475,0.63691366,0.15738703,-0.88626623,0.85656995,0.30357674,-0.9941259,-0.73084897,0.4883113,-0.53177464,0.37195006,0.27703986,-0.2677077,0.44029593,-0.23372123,0.5502276,0.37681252,-0.38118893,0.975841,0.82126355,0.93143255,0.6434674,0.30520403,0.98078454,-0.4229238,-0.83136004,0.82501054,0.18280627,-0.62348145,-0.11112459,0.6877424,-0.70325816,-0.47026423,0.34941953,-0.060666636,0.0835401,-0.29115963,0.49379492,0.13821945,0.08004549,0.72956264,-0.81494373,0.7942916,-0.65059364,-0.6733708,-0.23967016,0.055113517,0.54382515,-0.6719324,-0.08469078,-0.4890052,0.84523916,0.88834363,0.48491552,-0.22466166,0.42787516,0.21541803,-0.9619606,0.7603518,0.4306405,-0.41910562,-0.63463,0.5055891,-0.06510503,-0.8938299,-0.78324664,0.807211,0.004030001,-0.7950465,0.3124602,-0.7391518,0.8604216,0.85205907,-0.9457311,1.0055327,-0.48915818,-0.4941881,0.31276917,0.30695984,-0.8149225,-0.79550683,-0.9054976,0.50065213,0.11868399,-0.13952927,0.50383514,-0.93319523,-0.5682881,0.10295918,-0.4598622,-0.68767977,-0.8866306,-0.8263066,0.98557985,0.03802128,-0.6423491,0.61257076,-0.86216444,0.88013786,0.5612119,0.19818492,0.68560123,-0.78602934,0.82097244,0.7364788,0.71607244,-0.38225746,-0.37751374,0.499874,0.7068207
0.01,-0.34036145,0.43051365,0.13673149,0.9379835,-0.33108908,-0.59254724,-0.7753303,-0.30261928,-0.6069784,0.22334312,-0.13234317,-0.019064512,-0.49668473,-0.43077874,0.8772161,0.12888874,0.006640972,0.90020347,-0.80031615,0.61555696,-0.399072,0.11113675,0.7769228,0.09440758,-0.8172983,0.24422823,0.70297194,0.83370256,-0.6710171,0.20311436,-0.97934747,0.43788308,-0.85534924,1.0152752,-0.33219677,0.91189605,0.5791511,-0.2177482,-0.31514913,-0.68011373,0.34673396,0.08415353,0.9498501,-0.15268296,-0.4928735,0.22898261,0.2768067,1.0292461,-0.5033242,0.68069607,0.19345029,1.0289258,0.17359291,0.60651916,-0.5139356,0.044702567,1.0245562,0.7848609,-0.8896272,0.56253904,-0.39979938,-0.7496101,0.5145069,-0.45992798,0.66767293,-0.12867925,0.30739915,-0.89878905,0.6348177,0.24492492,0.59526134,-0.5313295,-0.29570228,-0.019262226,-0.12428403,-0.6280458,-0.00014396786,-0.6686729,-0.92375106,0.10961911,0.402566,-0.75431275,0.14185737,0.2748207,0.46718538,-0.6227662,-0.728908,-0.13267566,0.6568876,-0.29985538,1.033952,0.63880634,0.16204065,-0.89077973,0.8529324,0.30180863,-0.9980039,-0.73468107,0.48929152,-0.5342032,0.37147593,0.27986318,-0.26929316,0.44294226,-0.23630778,0.5461251,0.38119984,-0.37937215,0.9764584,0.82171595,0.931107,0.6442252,0.30343235,0.98236924,-0.41809508,-0.8308653,0.8246056,0.18174478,-0.62386274,-0.10665464,0.6908796,-0.70171916,-0.471726,0.35051376,-0.06182828,0.08812215,-0.2872336,0.49742323,0.13391039,0.077300325,0.73181134,-0.8195479,0.79744947,-0.6515298,-0.6776339,-0.24397884,0.058597416,0.5431013,-0.6725167,-0.0828512,-0.48933247,0.8403258,0.8894012,0.48483655,-0.22094084,0.42334774,0.21490733,-0.9576768,0.75674576,0.42813745,-0.41542414,-0.6302829,0.50244284,-0.06524278,-0.88965243,-0.7780637,0.8024842,0.007771297,-0.7941321,0.31005734,-0.74026763,0.8644,0.854897,-0.9430658,1.0006763,-0.4902913,-0.49675086,0.31455335,0.3107107,-0.8152341,-0.7941616,-0.9057844,0.5036038,0.12217043,-0.14308307,0.5002073,-0.93256,-0.5712273,0.09805707,-0.46220157,-0.6828375,-0.8825553,-0.8292083,0.9861295,0.0426705,-0.638048,0.6164117,-0.86574244,0.87969714,0.56302166,0.19323291,0.6880687,-0.78551924,0.8204341,0.73180115,0.72128934,-0.38120592,-0.38142687,0.50038254,0.70520884
0.015,-0.33710775,0.42712116,0.13329425,0.9326512,-0.3347151,-0.5921165,-0.77551764,-0.30575117,-0.60514224,0.22267984,-0.12917063,-0.015426744,-0.49325854,-0.43391132,0.87875885,0.12872551,0.00908912,0.8991885,-0.79869837,0.61939734,-0.40385345,0.10704232,0.772391,0.09136367,-0.81348485,0.24278896,0.7011628,0.8313624,-0.6734643,0.20192774,-0.9841482,0.4338093,-0.8554585,1.0126144,-0.3288035,0.9097346,0.5749052,-0.21895103,-0.31497186,-0.67858905,0.34579882,0.08144768,0.9487752,-0.1509968,-0.4946172,0.2301698,0.27179858,1.0273778,-0.5055962,0.67964923,0.1964391,1.0297256,0.17086503,0.60349756,-0.5134975,0.04659796,1.024015,0.7891414,-0.8873752,0.5609366,-0.39995727,-0.7516939,0.51264477,-0.4558242,0.66915226,-0.12570934,0.3040245,-0.90289176,0.6387038,0.24349412,0.59172434,-0.5268719,-0.29722327,-0.022328723,-0.12129449,-0.62367374,-0.00016814888,-0.6655051,-0.9250196,0.11149206,0.4042083,-0.75372195,0.14365304,0.27321392,0.47235286,-0.62672734,-0.7305531,-0.13117303,0.6529248,-0.30073753,1.0336565,0.6406991,0.16669428,-0.8952933,0.84929484,0.3000405,-1.001882,-0.73851323,0.49027172,-0.53663176,0.3710018,0.28268653,-0.27087864,0.4455886,-0.23889436,0.54202265,0.38558713,-0.37755534,0.9770758,0.8221684,0.93078136,0.644983,0.30166066,0.98395395,-0.41326633,-0.83037055,0.8242006,0.18068328,-0.62424403,-0.102184676,0.6940168,-0.70018023,-0.47318777,0.351608,-0.062989935,0.092704214,-0.28330752,0.50105155,0.12960134,0.07455515,0.7340601,-0.8241521,0.8006073,-0.652466,-0.681897,-0.24828754,0.06208132,0.54237753,-0.67310107,-0.08101162,-0.4896597,0.8354124,0.8904588,0.48475754,-0.21722001,0.4188203,0.21439663,-0.9533931,0.7531397,0.42563438,-0.41174263,-0.62593573,0.49929652,-0.065380536,-0.8854749,-0.77288073,0.79775745,0.011512593,-0.79321766,0.3076545,-0.7413835,0.86837846,0.857735,-0.9404006,0.9958198,-0.4914244,-0.49931365,0.3163375,0.31446153,-0.8155457,-0.79281634,-0.9060713,0.50655544,0.12565689,-0.14663687,0.4965795,-0.93192476,-0.57416654,0.09315497,-0.4645409,-0.6779952,-0.8784801,-0.8321101,0.98667926,0.047319718,-0.63374686,0.6202526,-0.86932045,0.8792564,0.56483144,0.1882809,0.6905361,-0.78500915,0.8198957,0.72712356,0.7265062,-0.3801544,-0.38534003,0.50089103,0.70359695
0.02,-0.33385405,0.42372867,0.12985702,0.9273189,-0.33834112,-0.5916858,-0.7757049,-0.30888307,-0.60330606,0.22201656,-0.12599808,-0.011788975,-0.48983237,-0.4370439,0.8803016,0.1285623,0.011537267,0.8981735,-0.7970806,0.6232377,-0.4086349,0.10294788,0.7678593,0.08831975,-0.80967134,0.24134968,0.69935364,0.8290223,-0.67591155,0.20074111,-0.988949,0.42973557,-0.8555678,1.0099535,-0.32541022,0.90757316,0.57065934,-0.22015387,-0.31479463,-0.6770643,0.34486368,0.07874183,0.94770026,-0.14931063,-0.4963609,0.231357,0.26679042,1.0255096,-0.5078682,0.6786024,0.19942792,1.0305254,0.16813716,0.60047597,-0.5130594,0.04849336,1.0234737,0.793422,-0.8851231,0.5593343,-0.4001152,-0.75377774,0.5107826,-0.4517204,0.6706315,-0.12273945,0.3006498,-0.90699446,0.6425899,0.24206331,0.58818734,-0.5224143,-0.2987443,-0.025395218,-0.11830495,-0.6193017,-0.00019232988,-0.6623373,-0.9262882,0.11336502,0.40585062,-0.7531312,0.14544868,0.27160716,0.47752032,-0.6306884,-0.7321981,-0.1296704,0.64896196,-0.3016197,1.033361,0.64259183,0.17134792,-0.8998068,0.8456573,0.2982724,-1.00576,-0.74234533,0.49125195,-0.5390603,0.37052765,0.28550985,-0.27246413,0.44823492,-0.24148092,0.5379202,0.38997445,-0.37573853,0.9776932,0.8226208,0.93045574,0.64574075,0.299889,0.98553866,-0.4084376,-0.8298758,0.8237956,0.1796218,-0.6246253,-0.097714715,0.697154,-0.69864124,-0.47464958,0.35270223,-0.06415158,0.09728627,-0.27938148,0.50467986,0.1252923,0.071809985,0.7363089,-0.8287563,0.8037652,-0.65340215,-0.6861601,-0.25259623,0.06556522,0.5416537,-0.6736854,-0.079172045,-0.48998693,0.830499,0.8915164,0.48467854,-0.21349919,0.41429287,0.21388593,-0.9491093,0.74953365,0.42313135,-0.40806115,-0.62158865,0.4961502,-0.06551829,-0.8812974,-0.7676978,0.79303074,0.015253889,-0.79230326,0.30525166,-0.74249935,0.87235695,0.86057293,-0.9377353,0.99096334,-0.49255753,-0.5018764,0.31812164,0.3182124,-0.8158573,-0.79147106,-0.9063581,0.5095071,0.12914333,-0.15019067,0.4929517,-0.9312895,-0.5771058,0.088252865,-0.46688023,-0.673153,-0.87440485,-0.8350119,0.987229,0.051968936,-0.62944573,0.62409353,-0.8728985,0.8788157,0.5666412,0.18332888,0.69300354,-0.784499,0.81935734,0.7224459,0.731723,-0.37910286,-0.38925317,0.5013996,0.7019851
0.025,-0.33060035,0.4203362,0.12641977,0.9219865,-0.34196714,-0.591255,-0.77589226,-0.31201497,-0.6014699,0.22135328,-0.12282553,-0.008151207,-0.48640618,-0.4401765,0.88184434,0.12839907,0.013985415,0.89715856,-0.7954628,0.6270782,-0.41341636,0.098853454,0.76332754,0.08527584,-0.8058579,0.23991042,0.6975445,0.82668215,-0.6783588,0.19955447,-0.99374974,0.42566183,-0.85567707,1.0072926,-0.32201695,0.90541166,0.56641346,-0.2213567,-0.3146174,-0.6755396,0.34392852,0.076035984,0.94662535,-0.14762448,-0.4981046,0.23254418,0.2617823,1.0236412,-0.5101402,0.67755556,0.20241672,1.0313253,0.16540928,0.59745437,-0.5126212,0.050388753,1.0229325,0.7977025,-0.882871,0.5577319,-0.40027308,-0.7558615,0.50892043,-0.4476166,0.67211086,-0.11976954,0.29727513,-0.91109717,0.64647603,0.24063252,0.5846503,-0.5179568,-0.3002653,-0.028461715,-0.11531541,-0.6149296,-0.00021651089,-0.6591695,-0.9275567,0.115237966,0.40749294,-0.75254047,0.14724435,0.2700004,0.4826878,-0.6346496,-0.7338432,-0.12816775,0.64499915,-0.30250186,1.0330653,0.6444846,0.17600153,-0.9043203,0.84201974,0.2965043,-1.0096381,-0.7461775,0.49223214,-0.5414888,0.37005353,0.2883332,-0.27404958,0.45088124,-0.24406749,0.5338177,0.39436176,-0.37392172,0.9783106,0.8230732,0.9301302,0.64649856,0.2981173,0.9871233,-0.4036089,-0.82938105,0.82339066,0.17856032,-0.6250067,-0.09324476,0.70029116,-0.69710225,-0.47611135,0.35379648,-0.06531323,0.101868324,-0.27545542,0.5083082,0.12098325,0.06906482,0.7385576,-0.83336043,0.80692303,-0.6543383,-0.6904232,-0.25690493,0.06904912,0.5409299,-0.6742697,-0.07733246,-0.4903142,0.8255856,0.892574,0.48459956,-0.20977835,0.40976542,0.21337523,-0.9448256,0.74592763,0.4206283,-0.40437964,-0.6172415,0.49300388,-0.06565605,-0.87711996,-0.7625149,0.788304,0.018995186,-0.79138887,0.3028488,-0.7436152,0.8763354,0.8634109,-0.9350701,0.9861069,-0.49369064,-0.50443923,0.31990582,0.32196322,-0.81616884,-0.79012585,-0.906645,0.51245874,0.13262978,-0.15374446,0.48932388,-0.9306543,-0.58004504,0.08335076,-0.4692196,-0.6683107,-0.87032956,-0.83791363,0.98777866,0.056618158,-0.6251446,0.62793446,-0.8764765,0.878375,0.568451,0.17837687,0.6954709,-0.7839889,0.8188189,0.7177683,0.7369399,-0.3780513,-0.3931663,0.50190806,0.70037323
0.03,-0.32734665,0.41694367,0.12298253,0.9166542,-0.34559315,-0.5908243,-0.7760796,-0.31514686,-0.5996337,0.22069,-0.11965299,-0.0045134393,-0.48297998,-0.44330907,0.8833871,0.12823585,0.016433561,0.89614356,-0.79384506,0.63091856,-0.4181978,0.094759025,0.7587958,0.082231924,-0.80204445,0.23847115,0.69573534,0.824342,-0.680806,0.19836785,-0.9985505,0.4215881,-0.8557864,1.0046319,-0.3186237,0.9032502,0.5621676,-0.22255954,-0.31444016,-0.6740149,0.34299338,0.07333014,0.94555044,-0.14593832,-0.4998483,0.23373137,0.25677416,1.021773,-0.51241213,0.67650867,0.20540553,1.0321251,0.16268142,0.5944328,-0.5121831,0.05228415,1.0223913,0.80198306,-0.8806189,0.5561296,-0.400431,-0.7579453,0.50705826,-0.4435128,0.6735902,-0.116799645,0.29390046,-0.9151999,0.65036213,0.23920171,0.5811133,-0.5134992,-0.30178633,-0.031528212,-0.11232587,-0.61055756,-0.0002406919,-0.6560017,-0.92882526,0.11711092,0.40913522,-0.7519497,0.14904001,0.2683936,0.4878553,-0.63861066,-0.73548824,-0.12666512,0.6410363,-0.30338404,1.0327698,0.64637727,0.18065517,-0.9088338,0.8383822,0.29473618,-1.0135161,-0.7500096,0.49321234,-0.54391736,0.3695794,0.29115653,-0.27563506,0.45352757,-0.24665405,0.52971524,0.39874908,-0.37210494,0.97892797,0.8235256,0.92980456,0.6472563,0.29634562,0.988708,-0.39878017,-0.8288863,0.8229857,0.17749883,-0.62538797,-0.0887748,0.7034283,-0.69556326,-0.47757313,0.35489073,-0.06647488,0.10645038,-0.27152938,0.5119365,0.11667421,0.06631965,0.74080634,-0.8379646,0.8100809,-0.65527445,-0.6946863,-0.26121363,0.07253302,0.54020613,-0.674854,-0.07549288,-0.49064142,0.8206722,0.8936316,0.48452055,-0.20605753,0.40523797,0.21286453,-0.9405418,0.7423216,0.41812527,-0.40069816,-0.61289436,0.48985755,-0.065793805,-0.87294245,-0.75733197,0.7835772,0.022736482,-0.7904745,0.30044594,-0.74473107,0.8803138,0.86624885,-0.9324048,0.9812504,-0.49482375,-0.507002,0.32168996,0.32571408,-0.8164804,-0.78878057,-0.9069318,0.5154104,0.13611622,-0.15729825,0.48569608,-0.930019,-0.58298427,0.07844865,-0.47155893,-0.6634684,-0.8662543,-0.8408154,0.9883284,0.061267376,-0.62084347,0.6317754,-0.88005453,0.8779343,0.57026076,0.17342487,0.6979383,-0.7834788,0.8182805,0.71309066,0.74215674,-0.37699977,-0.39707944,0.5024166,0.69876134
0.035,-0.32409295,0.41355118,0.119545296,0.9113219,-0.3492192,-0.59039354,-0.77626693,-0.31827876,-0.5977975,0.22002672,-0.11648044,-0.00087567035,-0.4795538,-0.44644162,0.88492984,0.12807263,0.01888171,0.8951286,-0.79222727,0.63475895,-0.42297927,0.090664595,0.75426406,0.07918801,-0.798231,0.23703189,0.6939262,0.82200193,-0.6832532,0.19718122,-1.0033512,0.41751435,-0.85589564,1.001971,-0.31523043,0.9010888,0.5579217,-0.22376238,-0.3142629,-0.6724902,0.3420582,0.07062429,0.94447553,-0.14425217,-0.50159204,0.23491856,0.25176603,1.0199047,-0.51468414,0.6754618,0.20839435,1.032925,0.15995353,0.5914112,-0.511745,0.054179545,1.0218501,0.80626357,-0.87836677,0.5545272,-0.4005889,-0.76002914,0.50519615,-0.43940902,0.6750695,-0.11382975,0.2905258,-0.9193026,0.65424824,0.23777092,0.5775763,-0.5090416,-0.30330735,-0.034594707,-0.10933633,-0.6061855,-0.0002648729,-0.65283394,-0.93009377,0.11898387,0.41077754,-0.7513589,0.15083568,0.26678684,0.49302274,-0.6425718,-0.7371333,-0.12516248,0.63707346,-0.30426618,1.0324743,0.64827,0.1853088,-0.9133473,0.83474463,0.29296806,-1.0173941,-0.75384176,0.49419257,-0.5463459,0.36910528,0.29397988,-0.27722055,0.4561739,-0.24924062,0.5256128,0.40313637,-0.37028813,0.9795454,0.82397807,0.92947894,0.6480141,0.29457393,0.9902927,-0.39395142,-0.82839155,0.8225807,0.17643733,-0.62576926,-0.08430484,0.7065655,-0.69402426,-0.4790349,0.35598496,-0.06763653,0.11103244,-0.2676033,0.5155648,0.11236516,0.06357448,0.7430551,-0.8425688,0.81323874,-0.65621066,-0.6989494,-0.2655223,0.07601692,0.5394823,-0.67543834,-0.0736533,-0.49096864,0.81575876,0.8946892,0.48444158,-0.2023367,0.40071055,0.21235383,-0.9362581,0.7387156,0.41562223,-0.39701664,-0.6085472,0.48671123,-0.06593156,-0.868765,-0.752149,0.77885044,0.026477778,-0.7895601,0.2980431,-0.7458469,0.88429224,0.8690868,-0.9297396,0.97639394,-0.49595687,-0.5095648,0.3234741,0.3294649,-0.816792,-0.7874353,-0.9072187,0.5183621,0.13960268,-0.16085204,0.48206827,-0.9293838,-0.5859235,0.07354655,-0.47389826,-0.65862614,-0.86217904,-0.8437172,0.98887813,0.06591659,-0.61654234,0.6356163,-0.88363254,0.87749356,0.5720706,0.16847286,0.7004058,-0.7829687,0.81774217,0.70841306,0.7473736,-0.37594822,-0.40099257,0.5029251,0.69714946
0.04,-0.3208393,0.4101587,0.11610805,0.9059896,-0.35284522,-0.58996284,-0.77645427,-0.32141066,-0.59596133,0.21936344,-0.11330789,0.0027620972,-0.4761276,-0.4495742,0.8864726,0.1279094,0.021329856,0.8941136,-0.7906095,0.6385994,-0.42776072,0.086570166,0.74973226,0.0761441,-0.79441756,0.23559262,0.69211704,0.8196618,-0.6857004,0.19599459,-1.008152,0.41344061,-0.8560049,0.99931014,-0.31183717,0.8989273,0.55367583,-0.22496521,-0.31408566,-0.6709655,0.34112307,0.06791844,0.9434006,-0.14256601,-0.5033357,0.23610575,0.2467579,1.0180365,-0.5169561,0.674415,0.21138316,1.0337248,0.15722565,0.5883896,-0.5113069,0.05607494,1.0213089,0.81054413,-0.8761147,0.5529249,-0.40074682,-0.7621129,0.503334,-0.4353052,0.67654884,-0.11085985,0.28715113,-0.9234053,0.65813434,0.2363401,0.5740393,-0.5045841,-0.30482838,-0.037661202,-0.10634679,-0.60181344,-0.00028905392,-0.64966613,-0.93136233,0.12085682,0.41241986,-0.7507682,0.15263134,0.26518008,0.49819022,-0.6465329,-0.73877835,-0.12365985,0.63311064,-0.30514833,1.0321788,0.65016276,0.18996242,-0.9178608,0.831107,0.29119995,-1.0212722,-0.75767386,0.49517277,-0.5487745,0.36863115,0.29680324,-0.278806,0.45882022,-0.25182718,0.5215103,0.4075237,-0.36847132,0.9801628,0.82443047,0.9291534,0.6487719,0.29280224,0.99187744,-0.3891227,-0.8278968,0.82217574,0.17537585,-0.62615055,-0.079834886,0.70970273,-0.69248533,-0.48049667,0.3570792,-0.06879818,0.115614496,-0.26367727,0.5191931,0.10805611,0.06082931,0.7453038,-0.847173,0.8163966,-0.6571468,-0.7032125,-0.269831,0.079500824,0.5387585,-0.67602265,-0.071813725,-0.4912959,0.8108454,0.8957468,0.48436257,-0.19861588,0.3961831,0.21184313,-0.93197435,0.7351095,0.41311917,-0.39333516,-0.60420007,0.4835649,-0.06606931,-0.8645875,-0.74696606,0.77412367,0.030219074,-0.7886456,0.29564026,-0.7469628,0.8882707,0.87192476,-0.9270744,0.9715375,-0.49708998,-0.5121276,0.32525826,0.33321577,-0.81710356,-0.7860901,-0.9075055,0.5213137,0.14308912,-0.16440585,0.47844046,-0.92874855,-0.5888627,0.06864445,-0.47623762,-0.65378386,-0.8581038,-0.84661895,0.98942786,0.07056581,-0.6122412,0.6394572,-0.88721055,0.87705284,0.5738804,0.16352084,0.7028732,-0.7824586,0.81720376,0.7037354,0.7525905,-0.37489668,-0.4049057,0.50343364,0.69553757
0.045,-0.3175856,0.4067662,0.11267081,0.90065724,-0.35647124,-0.5895321,-0.7766416,-0.32454255,-0.59412515,0.21870016,-0.11013535,0.0063998676,-0.4727014,-0.45270678,0.88801533,0.1277462,0.023778005,0.89309865,-0.78899175,0.6424398,-0.43254218,0.08247573,0.7452005,0.07310018,-0.7906041,0.23415335,0.6903079,0.81732166,-0.68814766,0.19480796,-1.0129527,0.40936685,-0.8561142,0.9966493,-0.3084439,0.8967658,0.54942995,-0.22616805,-0.31390843,-0.6694408,0.34018794,0.06521259,0.94232565,-0.14087985,-0.50507945,0.23729296,0.24174975,1.0161682,-0.5192281,0.67336816,0.21437198,1.0345247,0.15449779,0.585368,-0.5108687,0.057970338,1.0207677,0.81482464,-0.8738626,0.55132246,-0.40090472,-0.76419675,0.5014718,-0.43120143,0.67802817,-0.10788995,0.28377646,-0.927508,0.66202044,0.23490931,0.5705023,-0.5001265,-0.30634937,-0.0407277,-0.103357255,-0.5974414,-0.00031323492,-0.6464983,-0.9326309,0.12272978,0.41406217,-0.75017744,0.154427,0.2635733,0.5033577,-0.65049404,-0.74042344,-0.122157216,0.6291478,-0.3060305,1.0318832,0.6520555,0.19461605,-0.92237437,0.82746947,0.28943187,-1.0251502,-0.761506,0.49615297,-0.551203,0.36815703,0.29962656,-0.28039148,0.46146655,-0.25441375,0.51740783,0.411911,-0.36665452,0.9807802,0.82488286,0.92882776,0.6495297,0.29103056,0.99346215,-0.38429397,-0.827402,0.8217708,0.17431436,-0.62653184,-0.075364925,0.7128399,-0.69094634,-0.48195845,0.35817343,-0.06995983,0.12019655,-0.2597512,0.5228214,0.10374706,0.05808414,0.7475526,-0.85177714,0.81955445,-0.65808296,-0.7074756,-0.2741397,0.08298472,0.5380347,-0.67660695,-0.06997415,-0.49162313,0.805932,0.8968044,0.48428357,-0.19489504,0.39165565,0.21133243,-0.92769057,0.7315035,0.41061613,-0.38965365,-0.5998529,0.4804186,-0.066207066,-0.86041,-0.74178314,0.7693969,0.033960372,-0.78773123,0.2932374,-0.74807864,0.89224917,0.8747627,-0.9244091,0.96668106,-0.49822313,-0.51469034,0.32704243,0.3369666,-0.8174152,-0.7847448,-0.9077924,0.5242654,0.14657557,-0.16795965,0.47481266,-0.9281133,-0.59180194,0.06374234,-0.47857696,-0.6489416,-0.8540286,-0.84952074,0.98997754,0.075215034,-0.6079401,0.64329815,-0.89078856,0.8766121,0.57569015,0.15856883,0.7053406,-0.7819485,0.81666535,0.6990578,0.7578073,-0.37384516,-0.40881887,0.5039422,0.6939257
